pid,standard_measures,result_measures,intersection,IoU,Precision,Recall,F1,Coverage
53,[26],"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0]",[26],0.019,0.019,1.0,0.036,1.0
54,"[17, 31, 36, 37, 38, 39, 40, 41, 60]","[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0]","[31, 36, 37, 38, 39, 40, 41]",0.125,0.13,0.778,0.222,0.778
55,"[1, 2, 60]","[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0]",[],0.0,0.0,0.0,0.0,0.0
59,[48],"[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0]",[],0.0,0.0,0.0,0.0,0.0
60,"[2, 9, 37, 38, 39, 40, 41, 47, 55, 63, 64, 65, 66]","[5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 21.0, 22.0, 23.0, 24.0, 25.0, 26.0, 28.0, 29.0, 30.0, 31.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 42.0, 43.0, 44.0, 45.0, 46.0, 47.0, 48.0, 53.0, 54.0, 55.0, 56.0, 57.0, 58.0, 64.0, 65.0, 66.0, 67.0, 68.0, 69.0, 70.0, 71.0, 72.0, 73.0, 74.0, 75.0, 76.0, 77.0, 78.0, 79.0, 80.0, 81.0]","[9, 37, 38, 39, 40, 41, 47, 55, 64, 65, 66]",0.196,0.204,0.846,0.328,0.846
