pid,measure,feature,feature_value
68,1,1,-0.720931742223885
68,1,2,-0.4456243850158641
68,1,3,0.11513161323379117
68,1,4,-0.11757445228125396
68,1,5,-0.4249773755325139
68,1,6,0.00489079820072158
68,1,7,0.3547211124088141
68,1,8,-0.23843893825829032
68,1,9,0.45966792090972586
68,1,10,0.5154551307757307
68,1,11,0.1500690208547395
68,1,12,0.11623426458914721
68,1,13,0.17818717899908143
68,1,14,-0.3284043172000628
68,1,15,-0.23715488886901837
68,1,16,0.24306842820249352
68,1,17,0.26266746174595235
68,1,18,-0.35337306169709237
68,1,19,-0.010061190750090043
68,2,1,-0.3857090898518226
68,2,2,-0.36736119073180395
68,2,3,0.5028113952343152
68,2,4,0.3691338445027521
68,2,5,-0.06226834949915272
68,2,6,0.1415444104262178
68,2,7,0.5259875541199754
68,2,8,-0.19984851801280645
68,2,9,0.26315167746551826
68,2,10,0.6024530426868706
68,2,11,-0.48607322080438
68,2,12,0.04510758348012489
68,2,13,0.20970984177593066
68,2,14,-0.20305827576414381
68,2,15,-0.20951052337172826
68,2,16,0.3233535156932157
68,2,17,0.15873077697422588
68,2,18,-0.2281147935033907
68,2,19,-0.14934690307657983
68,3,1,-0.3969499164051299
68,3,2,-0.2670217460036203
68,3,3,0.41362829531380485
68,3,4,0.2772919467867405
68,3,5,-0.10811725115417237
68,3,6,0.33257884917210623
68,3,7,0.4797453186232694
68,3,8,-0.06848763229301957
68,3,9,0.4655022814642844
68,3,10,0.46353506367308706
68,3,11,-0.2594251547506261
68,3,12,-0.3711125825319914
68,3,13,0.16336191266672118
68,3,14,-0.31344263662042327
68,3,15,-0.12484171101501162
68,3,16,0.17985633348858232
68,3,17,-0.02845645084872117
68,3,18,-0.3178199613541729
68,3,19,-0.16726123895222889
68,4,1,-0.48647935491055594
68,4,2,-0.29631533414999023
68,4,3,0.48301121467744146
68,4,4,0.266405138977043
68,4,5,0.016805101527126443
68,4,6,0.20631374874580266
68,4,7,0.28151091396265726
68,4,8,-0.3176584951606771
68,4,9,0.318230118400618
68,4,10,0.1329280038152103
68,4,11,-0.4531730667074809
68,4,12,0.08274877268321146
68,4,13,0.35126248094360624
68,4,14,0.18783565264982838
68,4,15,-0.052957071387257915
68,4,16,0.2743142395445153
68,4,17,0.34782250129236947
68,4,18,-0.23497244377346682
68,4,19,-0.21737500587440672
68,5,1,-0.1996323764038458
68,5,2,-0.3670250923584798
68,5,3,0.373568221843944
68,5,4,0.23234436661274094
68,5,5,-0.27706172488684144
68,5,6,0.23737450483548272
68,5,7,0.5632772846323499
68,5,8,-0.3947930718385587
68,5,9,0.4597663000853778
68,5,10,0.48114786188953484
68,5,11,-0.5437927220256162
68,5,12,0.19285884215756144
68,5,13,0.42204830929535087
68,5,14,-0.25575970758344324
68,5,15,-0.29987380767822036
68,5,16,0.20608956125630562
68,5,17,0.41664879201161087
68,5,18,-0.2267530282225717
68,5,19,-0.4550943864074354
68,6,1,-0.3911850430006599
68,6,2,-0.43031947448696994
68,6,3,0.4117550680361486
68,6,4,0.27927233056427037
68,6,5,0.030534299497297024
68,6,6,0.21254418605586722
68,6,7,0.45587282534935114
68,6,8,-0.36984809926129636
68,6,9,0.5136133555765359
68,6,10,0.6059767726400564
68,6,11,-0.2896131156630074
68,6,12,0.30902819111965196
68,6,13,0.3715754035237666
68,6,14,0.07338409918230071
68,6,15,0.0695089105384028
68,6,16,0.31392410942616955
68,6,17,0.15468004184589312
68,6,18,-0.3221129872032099
68,6,19,-0.1698130631087783
68,7,1,-0.31707334021256117
68,7,2,0.010017304128981275
68,7,3,0.414502370517553
68,7,4,0.24511135041510346
68,7,5,-0.19832949233968167
68,7,6,0.25046551819036433
68,7,7,0.563076137618935
68,7,8,-0.2580392518281981
68,7,9,0.3192446307919139
68,7,10,0.6672424957077969
68,7,11,-0.4151418351592907
68,7,12,0.12404535170280995
68,7,13,0.2410317232612076
68,7,14,0.12660796465371527
