measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,5.95830225944519,3.398665696382523,3.599514126777649,2.182737708091736,5.803793132305145,3.2702673971652985,2.4213627874851227,2.4505496621131897,6.010433793067932,5.853203892707825,4.674892544746399,2.5530271828174587,3.9193437099456787,5.034417629241943,3.162277191877365,2.4575097262859344,2.9425836205482483,2.419128715991974,6.121094286441803
2,6.010202646255493,3.3241068720817566,3.679721236228943,2.2183078229427338,5.806410849094391,3.201528966426849,2.4689779877662654,2.4870120286941533,6.012242496013641,5.838531076908112,4.658876657485962,2.6103424131870265,3.9862619638442993,5.027822852134705,3.0843400359153748,2.427171915769577,2.836656004190445,2.4037407636642456,6.14955371618271
3,5.980126440525055,3.3548894524574284,3.6283098459243774,2.194753587245941,5.823783576488495,3.260378777980804,2.4678787887096405,2.5093239545822144,5.997017681598663,5.847498655319214,4.668611943721771,2.5525415241718292,3.9150620698928833,5.0187042355537415,3.121832132339478,2.462495446205139,2.868437021970749,2.4557999074459076,6.110850393772125
4,5.965193688869476,3.304423719644547,3.682071089744568,2.169966220855713,5.823948800563812,3.2442352175712585,2.4612293541431427,2.477030783891678,5.979897379875183,5.846017062664032,4.69459342956543,2.5857196450233464,4.048757553100586,5.063533782958984,3.091543346643448,2.448652923107147,2.8433728218078618,2.4489627182483673,6.137382209300995
5,5.974181711673737,3.2692800164222717,3.7197726368904114,2.184622973203659,5.80044025182724,3.195360392332077,2.4730591475963593,2.4942464232444763,6.000699758529663,5.852981090545654,4.687497556209564,2.617643564939499,4.050496995449066,5.021336555480957,3.0539242029190063,2.4527167677879333,2.823688626289368,2.3878525495529175,6.182671964168549
6,5.9298816323280334,3.343901216983795,3.6424761414527893,2.1467405557632446,5.841614007949829,3.3124333322048183,2.400619029998779,2.4411590099334717,5.997168719768524,5.859154045581818,4.665794372558594,2.5952039659023285,4.0472559332847595,5.086277961730957,3.1421194374561314,2.470043808221817,2.913660854101181,2.4751148521900177,6.067259192466736
7,5.90175098180771,3.3169296383857723,3.7014119029045105,2.18518728017807,5.872649431228638,3.283708333969116,2.3868578672409058,2.45856511592865,5.996227443218231,5.92672860622406,4.669303715229034,2.5803102254867554,4.0418431758880615,5.163439691066742,3.143033802509308,2.4477181136608124,2.953775048255921,2.4785167574882507,6.010038256645203
8,5.89375513792038,3.3735660314559937,3.7041802406311035,2.1794444918632507,5.8698418736457825,3.306194037199021,2.396785080432892,2.489391505718231,6.004400610923767,5.923507988452911,4.656397879123688,2.561928004026413,3.9957298040390015,5.141156554222107,3.175711035728455,2.43654003739357,2.957093089818955,2.511625826358795,6.025012731552124
9,5.92100292444229,3.2721841633319855,3.735671281814575,2.1575998663902283,5.848677754402161,3.2767004966735835,2.348579913377762,2.4618835747241974,6.014541447162628,5.882788181304932,4.671763718128204,2.584980726242065,4.000657737255096,5.1155505776405334,3.096705138683319,2.460723042488098,2.884449154138565,2.4610480666160583,6.053462564945221
10,5.958152890205383,3.2663854658603673,3.692718029022217,2.1925339102745056,5.857538938522339,3.192715346813202,2.4090331494808197,2.4976570904254913,6.007707178592682,5.861160933971405,4.66695511341095,2.576757282018662,3.985868513584137,5.099393665790558,3.073384553194046,2.4276755154132847,2.8628325462341313,2.427328795194626,6.123989045619965
