measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,5.6238954067230225,3.923026204109192,3.5874423384666443,2.2276536226272583,6.062398433685303,3.600018560886383,2.6434629559516907,2.4642603397369385,5.951161742210388,5.977251708507538,4.460990369319916,2.142568439245224,3.481308609247208,5.274633407592773,3.4856305122375493,2.4683141708374023,3.3889335393905644,2.6794369518756866,5.352399706840515
2,5.692663252353668,3.8635780811309814,3.6386476159095764,2.251760482788086,6.075165748596191,3.554366648197174,2.6700227260589604,2.493466407060623,5.945844948291779,5.974395751953125,4.427393138408661,2.1793189048767085,3.5234209299087524,5.2611083984375,3.4142232537269592,2.435323178768158,3.334061831235885,2.678562223911286,5.370122075080872
3,5.686058878898621,3.779332995414734,3.6146379709243774,2.2497150003910065,6.046740531921387,3.552833318710327,2.6399239897727966,2.5030975937843323,5.94269984960556,5.953378081321716,4.491946518421173,2.139815747737884,3.5529342889785767,5.230896592140199,3.4095673561096187,2.4704549908638,3.3567290306091313,2.6829185485839844,5.431984722614288
4,5.632360637187958,3.8501911759376526,3.6558722257614136,2.2443504333496094,6.05030745267868,3.6184410452842712,2.680889755487442,2.489529818296433,5.924449265003204,5.949203252792358,4.483863055706024,2.153366625308991,3.5415058732032776,5.253282785415649,3.478318929672241,2.4531271159648895,3.3564275801181793,2.735108077526093,5.351293206214905
5,5.663739860057831,3.852790117263794,3.6774452328681946,2.238150149583816,6.047328412532806,3.558130919933319,2.696495920419693,2.4784771203994755,5.959594011306763,5.982391178607941,4.452512621879578,2.1852319240570073,3.515178918838501,5.230496883392334,3.4456304311752324,2.480724960565567,3.347099512815475,2.705742001533508,5.3692246079444885
6,5.550205886363983,3.8444279432296753,3.632805109024048,2.250749945640564,6.051475286483765,3.7259610295295715,2.6183386743068695,2.459685802459717,5.920197248458862,5.962827563285828,4.391552448272705,2.188460052013397,3.5758140683174133,5.285885334014893,3.468519389629364,2.49293652176857,3.379810959100723,2.760020613670349,5.269466817378998
7,5.532992124557495,3.840281069278717,3.6585800647735596,2.217741847038269,6.077629506587981,3.6939138174057007,2.6508959531784058,2.4845580756664276,5.904996633529663,5.9770426750183105,4.415996015071869,2.1964602768421173,3.5053852200508127,5.317292511463165,3.499150723218918,2.453876674175263,3.405265063047409,2.760513782501221,5.155057072639465
8,5.523172974586487,3.844537675380707,3.678247570991516,2.2054543495178223,6.0751423835754395,3.707433819770813,2.64883878827095,2.5050308406353,5.899055242538452,5.974535942077637,4.4021735191345215,2.1745568215847015,3.4533348381519318,5.29698246717453,3.487372249364853,2.458350658416748,3.423536717891693,2.7568022906780243,5.133232891559601
9,5.4821218848228455,3.836481750011444,3.6692211627960205,2.1993066370487213,6.102785289287567,3.698764979839325,2.644589066505432,2.526053309440613,5.888408720493317,5.977716505527496,4.383681356906891,2.1676349341869354,3.4657548069953923,5.315145432949066,3.487040549516678,2.435407042503357,3.425971269607545,2.7481566071510315,5.0828633308410645
10,5.525500297546387,3.767518639564514,3.6933881044387817,2.2064634263515472,6.096310257911682,3.588639795780182,2.663461744785308,2.5407513678073883,5.900315701961517,5.996182382106781,4.386097550392151,2.1602294743061066,3.503987491130829,5.2913698554039,3.4302864968776707,2.4239152073860173,3.375247895717621,2.7119593918323517,5.197868466377258
11,5.497674643993379,3.776459515094757,3.6845961809158325,2.2187682390213013,6.091592192649841,3.6773914098739624,2.643239736557007,2.532959550619126,5.925919592380524,5.990381181240082,4.415285885334015,2.158626675605774,3.5081201791763306,5.300404191017151,3.4702652990818024,2.426816016435623,3.3841247260570526,2.7332082092761993,5.179887413978577
12,5.497290790081024,3.7659356594085693,3.667500078678131,2.1990679800510406,6.121452271938324,3.6639957427978516,2.6649825572967525,2.5152876675128937,5.911109089851379,5.998121678829193,4.37922239303589,2.1656063497066493,3.5000129342079154,5.307604372501373,3.5237534642219543,2.399083822965622,3.405389189720154,2.7760874032974243,5.136504828929901
13,5.469823122024536,3.803393542766571,3.714487135410309,2.198659300804138,6.095835447311401,3.671420395374298,2.65238505601883,2.52069228887558,5.9251948595047,6.007179796695709,4.405207633972168,2.1415664553642277,3.484682351350784,5.299715757369995,3.5061445832252502,2.4381714165210724,3.393623232841492,2.740933477878571,5.138883471488953
14,5.447952210903168,3.831573009490967,3.661890387535095,2.2075659632682805,6.108186364173889,3.709222912788391,2.627913534641266,2.5109373927116394,5.8921024799346915,5.9909628033638,4.395829916000366,2.1541896164417267,3.4743147492408752,5.318054795265199,3.496043592691422,2.4473544955253606,3.4277142584323883,2.7721232771873474,5.084213078022003
15,5.4746133685112,3.816051959991455,3.6612186431884766,2.20025771856308,6.115154981613159,3.6647284030914307,2.6419786512851715,2.5050272941589355,5.887237131595612,6.005598485469818,4.382030785083771,2.1739416122436523,3.4911417365074158,5.315724551677704,3.4825421571731567,2.43998846411705,3.4168630838394165,2.7743460834026337,5.104992091655731
16,5.474385976791382,3.829621195793152,3.694357752799988,2.1983384490013123,6.102244973182678,3.684411346912384,2.621933966875076,2.4792216718196873,5.920963704586029,5.999130547046661,4.404496669769287,2.152505457401276,3.490823388099671,5.311812162399292,3.475493431091309,2.446878015995026,3.401986241340637,2.746189147233963,5.16458123922348
17,5.53148090839386,3.8018935918807983,3.6673415303230286,2.222480565309525,6.10223913192749,3.647415339946747,2.61489337682724,2.5030771493911743,5.91036182641983,5.987590730190277,4.367699682712555,2.162918746471405,3.4706985950469966,5.294421494007111,3.4461344480514526,2.43522846698761,3.3825986981391907,2.7141579985618596,5.189809620380402
