pid,measure,feature,feature_value,guideline_value,difference,critical_score
73.0,1.0,1.0,0.21875955974083736,0.047619047619047616,0.17114051212178974,9.0
73.0,1.0,2.0,0.21469298224177646,0.0,0.21469298224177646,7.0
73.0,1.0,3.0,-0.20903053540777386,0.6666666666666666,-0.8756972020744405,1.0
73.0,1.0,4.0,-0.7519509117303216,,,1.0
73.0,1.0,6.0,0.0845239478945774,0.6666666666666666,-0.5821427187720892,3.0
73.0,1.0,7.0,-0.30180436986132475,0.4444444444444444,-0.7462488143057692,5.0
73.0,1.0,8.0,-0.5853152560284577,0.6666666666666666,-1.2519819226951243,5.0
73.0,1.0,9.0,0.7388088247786981,0.3333333333333333,0.4054754914453648,4.0
73.0,1.0,10.0,0.9258803008887262,-0.3333333333333333,1.2592136342220595,3.0
73.0,1.0,11.0,0.10535531439014624,0.6666666666666666,-0.5613113522765204,3.0
73.0,1.0,13.0,-0.2643351528377579,0.3333333333333333,-0.5976684861710913,5.0
73.0,1.0,14.0,0.6000603503306232,,,2.0
73.0,1.0,15.0,0.1034175932125383,0.6666666666666666,-0.5632490734541283,1.0
73.0,1.0,16.0,-0.6336504423285054,0.8888888888888888,-1.5225393312173943,6.0
73.0,1.0,17.0,-0.004689062470980554,,,3.0
73.0,1.0,18.0,-0.4200538274573863,0.6666666666666666,-1.086720494124053,2.0
73.0,1.0,19.0,-0.21532190052075006,,,10.0
73.0,2.0,1.0,0.2521714741391172,0.047619047619047616,0.2045524265200696,12.0
73.0,2.0,2.0,0.16866978555514334,0.0,0.16866978555514334,10.0
73.0,2.0,3.0,-0.1927656802936916,0.6666666666666666,-0.8594323469603582,2.0
73.0,2.0,4.0,-0.7367701256861332,,,4.0
73.0,2.0,5.0,0.9293540139073552,,,1.0
73.0,2.0,6.0,0.08422242356679965,0.6666666666666666,-0.582444243099867,6.0
73.0,2.0,7.0,-0.3047797857399589,0.4444444444444444,-0.7492242301844033,8.0
73.0,2.0,8.0,-0.5657119010065443,0.6666666666666666,-1.2323785676732109,8.0
73.0,2.0,9.0,0.7363149748952127,0.3333333333333333,0.4029816415618794,7.0
73.0,2.0,10.0,0.927460121054834,-0.3333333333333333,1.2607934543881674,6.0
73.0,2.0,11.0,0.0931706762953799,0.6666666666666666,-0.5734959903712867,6.0
73.0,2.0,12.0,-0.8420693134504288,,,3.0
73.0,2.0,13.0,-0.27179797088039714,0.3333333333333333,-0.6051313042137305,8.0
73.0,2.0,14.0,0.6077550402176031,,,5.0
73.0,2.0,15.0,0.07426811982418569,0.6666666666666666,-0.5923985468424809,3.0
73.0,2.0,16.0,-0.6391146160030627,0.8888888888888888,-1.5280035048919516,6.0
73.0,2.0,17.0,-0.04637380055479656,,,6.0
73.0,2.0,18.0,-0.4209529446326179,0.6666666666666666,-1.0876196112992846,5.0
73.0,2.0,19.0,-0.2081421479884763,,,10.0
73.0,3.0,1.0,0.23266968807803856,0.047619047619047616,0.18505064045899094,14.0
73.0,3.0,2.0,0.15321511794422782,0.0,0.15321511794422782,10.0
73.0,3.0,3.0,-0.1972756331311858,0.6666666666666666,-0.8639422997978524,2.0
73.0,3.0,4.0,-0.73383480999705,,,4.0
73.0,3.0,5.0,0.9325925815967816,,,1.0
73.0,3.0,6.0,0.08702652707102643,0.6666666666666666,-0.5796401395956402,9.0
73.0,3.0,7.0,-0.30352394964498275,0.4444444444444444,-0.7479683940894272,9.0
73.0,3.0,8.0,-0.5688884543438769,0.6666666666666666,-1.2355551210105435,10.0
73.0,3.0,9.0,0.7418717154472363,0.3333333333333333,0.408538382113903,8.0
73.0,3.0,10.0,0.9372580249651868,-0.3333333333333333,1.2705913582985202,8.0
73.0,3.0,11.0,0.098661765289908,0.6666666666666666,-0.5680049013767586,8.0
73.0,3.0,12.0,-0.8448392272238823,,,5.0
73.0,3.0,13.0,-0.2504473023836403,0.3333333333333333,-0.5837806357169737,11.0
73.0,3.0,14.0,0.6023081432687023,,,8.0
73.0,3.0,15.0,0.09068482826377756,0.6666666666666666,-0.5759818384028891,3.0
73.0,3.0,16.0,-0.6385384826674774,0.8888888888888888,-1.5274273715563662,5.0
73.0,3.0,17.0,-0.0555844776530896,,,7.0
73.0,3.0,18.0,-0.4157463760306164,0.6666666666666666,-1.0824130426972831,8.0
73.0,3.0,19.0,-0.2169480950557262,,,10.0
73.0,4.0,1.0,0.19279864246764203,-0.1851851851851852,0.37798382765282723,15.0
73.0,4.0,2.0,0.17233172395329574,0.0,0.17233172395329574,10.0
73.0,4.0,3.0,-0.17770637690991076,0.6666666666666666,-0.8443730435765774,2.0
73.0,4.0,4.0,-0.7516712106349521,,,5.0
73.0,4.0,5.0,0.9382715322502932,,,1.0
73.0,4.0,6.0,0.10968231579594878,0.6666666666666666,-0.5569843508707178,8.0
73.0,4.0,7.0,-0.28907987955485226,0.4444444444444444,-0.7335243239992967,8.0
73.0,4.0,8.0,-0.5576625835929261,0.6666666666666666,-1.2243292502595926,11.0
73.0,4.0,9.0,0.7214828149887507,0.3333333333333333,0.38814948165541735,8.0
73.0,4.0,10.0,0.9212266784378758,-0.3333333333333333,1.254560011771209,8.0
73.0,4.0,11.0,0.09944667421553488,0.6666666666666666,-0.5672199924511317,9.0
73.0,4.0,12.0,-0.8514624873297382,,,6.0
73.0,4.0,13.0,-0.2566455550383397,0.3333333333333333,-0.589978888371673,11.0
73.0,4.0,14.0,0.6090515220829402,,,6.0
73.0,4.0,15.0,0.11194611243779452,0.6666666666666666,-0.5547205542288721,3.0
73.0,4.0,16.0,-0.6490007221444001,0.8888888888888888,-1.537889611033289,4.0
73.0,4.0,17.0,-0.039382000611641536,,,7.0
73.0,4.0,18.0,-0.3793180362628015,0.6666666666666666,-1.0459847029294682,8.0
73.0,4.0,19.0,-0.26527400648199995,,,10.0
73.0,5.0,1.0,0.1953970620064185,0.047619047619047616,0.14777801438737087,13.0
73.0,5.0,2.0,0.17688405023371656,0.0,0.17688405023371656,10.0
73.0,5.0,3.0,-0.18303451910245505,0.6666666666666666,-0.8497011857691217,2.0
73.0,5.0,4.0,-0.7308839452548757,,,7.0
73.0,5.0,5.0,0.9313184685446634,,,2.0
73.0,5.0,6.0,0.10164227325610377,0.6666666666666666,-0.5650243934105629,7.0
73.0,5.0,7.0,-0.2708787581453226,0.4444444444444444,-0.715323202589767,7.0
73.0,5.0,8.0,-0.5717559361522235,0.6666666666666666,-1.2384226028188903,11.0
73.0,5.0,9.0,0.7218885452512793,0.3333333333333333,0.388555211917946,8.0
73.0,5.0,10.0,0.920767299395676,-0.3333333333333333,1.2541006327290094,6.0
73.0,5.0,11.0,0.09275294325502648,0.6666666666666666,-0.5739137234116402,9.0
73.0,5.0,12.0,-0.8545572944756737,,,5.0
73.0,5.0,13.0,-0.24089490983788345,0.3333333333333333,-0.5742282431712168,10.0
73.0,5.0,14.0,0.6026869582112606,,,4.0
73.0,5.0,15.0,0.1059330844681623,0.6666666666666666,-0.5607335821985043,4.0
73.0,5.0,16.0,-0.6521970073210352,0.8888888888888888,-1.541085896209924,4.0
73.0,5.0,17.0,-0.03876931336177192,,,7.0
73.0,5.0,18.0,-0.38859363747750986,0.6666666666666666,-1.0552603041441766,7.0
73.0,5.0,19.0,-0.2323659359619523,,,10.0
73.0,6.0,1.0,0.1598966642666415,0.047619047619047616,0.11227761664759389,13.0
73.0,6.0,2.0,0.19937616471557496,0.0,0.19937616471557496,10.0
73.0,6.0,3.0,-0.17514032849920735,0.6666666666666666,-0.841806995165874,1.0
73.0,6.0,4.0,-0.7537551474696973,,,8.0
73.0,6.0,5.0,0.9441372534011678,,,2.0
73.0,6.0,6.0,0.11925689529465422,0.6666666666666666,-0.5474097713720124,7.0
73.0,6.0,7.0,-0.2961540622003499,0.4444444444444444,-0.7405985066447943,7.0
73.0,6.0,8.0,-0.5658535701569296,0.6666666666666666,-1.2325202368235963,11.0
73.0,6.0,9.0,0.7281829110587117,0.3333333333333333,0.3948495777253784,9.0
73.0,6.0,10.0,0.9251346737814344,-0.3333333333333333,1.2584680071147678,4.0
73.0,6.0,11.0,0.12658731906068166,,,7.0
73.0,6.0,12.0,-0.8463653076801841,,,3.0
73.0,6.0,13.0,-0.2515312805233993,0.3333333333333333,-0.5848646138567326,10.0
73.0,6.0,14.0,0.6088109209456359,,,4.0
73.0,6.0,15.0,0.1063053524409978,0.6666666666666666,-0.5603613142256688,5.0
73.0,6.0,16.0,-0.6447148211596334,0.8888888888888888,-1.5336037100485223,6.0
73.0,6.0,17.0,-0.02585850720861149,,,7.0
73.0,6.0,18.0,-0.3604544888195375,0.6666666666666666,-1.027121155486204,7.0
73.0,6.0,19.0,-0.2342600106747432,,,7.0
73.0,7.0,1.0,0.07239113997678137,,,7.0
73.0,7.0,2.0,0.20514495434250168,,,6.0
73.0,7.0,4.0,-0.7703111608761637,,,7.0
73.0,7.0,5.0,0.9377275881825105,,,3.0
73.0,7.0,6.0,0.13774626523224676,,,7.0
73.0,7.0,7.0,-0.25679940882681995,0.3333333333333333,-0.5901327421601532,8.0
73.0,7.0,8.0,-0.5333076743647285,,,9.0
73.0,7.0,9.0,0.6821740813334141,,,8.0
73.0,7.0,10.0,0.9225598960777672,,,1.0
73.0,7.0,11.0,0.08429680441725873,,,8.0
73.0,7.0,12.0,-0.8351764454941925,,,2.0
73.0,7.0,13.0,-0.2933221340748019,0.6666666666666666,-0.9599888007414685,8.0
73.0,7.0,14.0,0.6028319008465073,,,5.0
73.0,7.0,15.0,0.11954350708028637,0.6666666666666666,-0.5471231595863802,8.0
73.0,7.0,16.0,-0.6399193476981275,,,5.0
73.0,7.0,17.0,-0.006317257468927418,,,7.0
73.0,7.0,18.0,-0.34419672625598785,0.6666666666666666,-1.0108633929226545,8.0
73.0,7.0,19.0,-0.404916506017745,1.0,-1.404916506017745,7.0
73.0,8.0,1.0,0.06688259239632655,,,7.0
73.0,8.0,2.0,0.20367425033843636,,,6.0
73.0,8.0,4.0,-0.7728642062775574,,,7.0
73.0,8.0,5.0,0.9371123548888598,,,4.0
73.0,8.0,6.0,0.14437707253931056,,,7.0
73.0,8.0,7.0,-0.2427486115707187,0.3333333333333333,-0.576081944904052,9.0
73.0,8.0,8.0,-0.533682488381345,,,8.0
73.0,8.0,9.0,0.6931480756103168,,,8.0
73.0,8.0,10.0,0.9247536765156354,,,1.0
73.0,8.0,11.0,0.09504474637846294,,,8.0
73.0,8.0,12.0,-0.8486178289852854,,,3.0
73.0,8.0,13.0,-0.31316099814645737,0.6666666666666666,-0.979827664813124,8.0
73.0,8.0,14.0,0.6094487049127757,,,7.0
73.0,8.0,15.0,0.12830608047312395,0.6666666666666666,-0.5383605861935427,9.0
73.0,8.0,16.0,-0.6493291617921484,,,7.0
73.0,8.0,17.0,0.005619868798272032,,,7.0
73.0,8.0,18.0,-0.3594993586811237,0.6666666666666666,-1.0261660253477904,8.0
73.0,8.0,19.0,-0.383297320832228,1.0,-1.3832973208322281,8.0
73.0,9.0,1.0,0.035923063739955914,-0.6666666666666666,0.7025897304066225,12.0
73.0,9.0,2.0,0.20947941201937706,,,5.0
73.0,9.0,3.0,-0.16284457377942685,,,3.0
73.0,9.0,4.0,-0.7656776339851561,,,8.0
73.0,9.0,5.0,0.9350338738622168,,,6.0
73.0,9.0,6.0,0.1532393053601473,,,7.0
73.0,9.0,7.0,-0.24325763846664786,0.1111111111111111,-0.354368749577759,11.0
73.0,9.0,8.0,-0.5222147434711994,,,8.0
73.0,9.0,9.0,0.6808368627675809,,,8.0
73.0,9.0,10.0,0.9230409164921054,,,3.0
73.0,9.0,11.0,0.07762289622618801,0.3333333333333333,-0.2557104371071453,9.0
