pid,measure,feature,feature_value,guideline_value,difference,critical_score
82.0,1.0,1.0,0.34314213161371465,0.047619047619047616,0.29552308399466704,9.0
82.0,1.0,2.0,0.17682036990394526,0.0,0.17682036990394526,7.0
82.0,1.0,3.0,-0.21170957629439746,0.6666666666666666,-0.8783762429610641,1.0
82.0,1.0,4.0,-0.8080992104977617,,,1.0
82.0,1.0,6.0,0.02873777230064589,0.6666666666666666,-0.6379288943660207,3.0
82.0,1.0,7.0,-0.35265498095503345,0.4444444444444444,-0.7970994253994779,5.0
82.0,1.0,8.0,-0.6136305951680122,0.6666666666666666,-1.2802972618346788,5.0
82.0,1.0,9.0,0.7740046806717964,0.3333333333333333,0.4406713473384631,4.0
82.0,1.0,10.0,0.9391158767546304,-0.3333333333333333,1.2724492100879636,3.0
82.0,1.0,11.0,0.14124857807228852,0.6666666666666666,-0.5254180885943781,3.0
82.0,1.0,13.0,-0.16934440548138086,0.3333333333333333,-0.5026777388147141,5.0
82.0,1.0,14.0,0.5889304395010599,,,2.0
82.0,1.0,15.0,0.008689606425768215,0.6666666666666666,-0.6579770602408984,1.0
82.0,1.0,16.0,-0.6781675104457432,0.8888888888888888,-1.567056399334632,6.0
82.0,1.0,17.0,-0.08312519026404164,,,3.0
82.0,1.0,18.0,-0.4707207507801446,0.6666666666666666,-1.1373874174468113,2.0
82.0,1.0,19.0,-0.04575809000796915,,,10.0
82.0,2.0,1.0,0.3311419511021325,0.047619047619047616,0.2835229034830849,12.0
82.0,2.0,2.0,0.16884251666730932,0.0,0.16884251666730932,10.0
82.0,2.0,3.0,-0.1819831769404643,0.6666666666666666,-0.8486498436071309,2.0
82.0,2.0,4.0,-0.7809924033629836,,,4.0
82.0,2.0,5.0,0.9631841493621852,,,1.0
82.0,2.0,6.0,0.03998629925420083,0.6666666666666666,-0.6266803674124658,6.0
82.0,2.0,7.0,-0.33357793223242715,0.4444444444444444,-0.7780223766768716,8.0
82.0,2.0,8.0,-0.6068296293339002,0.6666666666666666,-1.273496296000567,8.0
82.0,2.0,9.0,0.7619256709096679,0.3333333333333333,0.4285923375763346,7.0
82.0,2.0,10.0,0.9438341589856912,-0.3333333333333333,1.2771674923190246,6.0
82.0,2.0,11.0,0.11408005836695345,0.6666666666666666,-0.5525866082997132,6.0
82.0,2.0,12.0,-0.8407409968055881,,,3.0
82.0,2.0,13.0,-0.20465768918389826,0.3333333333333333,-0.5379910225172315,8.0
82.0,2.0,14.0,0.5891023464817118,,,5.0
82.0,2.0,15.0,0.01228373913319225,0.6666666666666666,-0.6543829275334744,3.0
82.0,2.0,16.0,-0.6774476846602373,0.8888888888888888,-1.5663365735491261,6.0
82.0,2.0,17.0,-0.0805747124230064,,,6.0
82.0,2.0,18.0,-0.4353695328138667,0.6666666666666666,-1.1020361994805334,5.0
82.0,2.0,19.0,-0.11377070907211563,,,10.0
