pid,measure,feature,feature_value,guideline_value,difference,critical_score
69.0,1.0,1.0,0.7001671244556422,0.047619047619047616,0.6525480768365945,9.0
69.0,1.0,2.0,-0.07076410375285158,0.0,-0.07076410375285158,7.0
69.0,1.0,3.0,-0.22286991018945732,0.6666666666666666,-0.889536576856124,1.0
69.0,1.0,4.0,-0.8392039488063691,,,1.0
69.0,1.0,6.0,-0.21716964671159975,0.6666666666666666,-0.8838363133782664,3.0
69.0,1.0,7.0,-0.6507353707712475,0.4444444444444444,-1.095179815215692,5.0
69.0,1.0,8.0,-0.7319602485010025,0.6666666666666666,-1.3986269151676691,5.0
69.0,1.0,9.0,0.8485029503856099,0.3333333333333333,0.5151696170522766,4.0
69.0,1.0,10.0,0.8603284157009146,-0.3333333333333333,1.1936617490342478,3.0
69.0,1.0,11.0,0.17307203248896766,0.6666666666666666,-0.493594634177699,3.0
69.0,1.0,13.0,-0.27097578811102074,0.3333333333333333,-0.6043091214443541,5.0
69.0,1.0,14.0,0.5418616054055867,,,2.0
69.0,1.0,15.0,-0.2690168544226328,0.6666666666666666,-0.9356835210892994,1.0
69.0,1.0,16.0,-0.7301228203293197,0.8888888888888888,-1.6190117092182086,6.0
69.0,1.0,17.0,-0.3128454544857117,,,3.0
69.0,1.0,18.0,-0.6344298977703643,0.6666666666666666,-1.301096564437031,2.0
69.0,1.0,19.0,0.5771097411823753,,,10.0
69.0,2.0,1.0,0.7313366462576798,0.047619047619047616,0.6837175986386321,12.0
69.0,2.0,2.0,-0.09770939407373624,0.0,-0.09770939407373624,10.0
69.0,2.0,3.0,-0.19966074903281367,0.6666666666666666,-0.8663274156994802,2.0
69.0,2.0,4.0,-0.8282773406442147,,,4.0
69.0,2.0,5.0,0.9047086602655166,,,1.0
69.0,2.0,6.0,-0.23786170525759096,0.6666666666666666,-0.9045283719242576,6.0
69.0,2.0,7.0,-0.6386969634920363,0.4444444444444444,-1.0831414079364807,8.0
69.0,2.0,8.0,-0.7187223879304268,0.6666666666666666,-1.3853890545970935,8.0
69.0,2.0,9.0,0.8460930752114892,0.3333333333333333,0.512759741878156,7.0
69.0,2.0,10.0,0.8590339328030996,-0.3333333333333333,1.1923672661364328,6.0
69.0,2.0,11.0,0.15784384536498774,0.6666666666666666,-0.5088228213016789,6.0
69.0,2.0,12.0,-0.8611120080876343,,,3.0
69.0,2.0,13.0,-0.25188807516964795,0.3333333333333333,-0.5852214085029812,8.0
69.0,2.0,14.0,0.5357312974997332,,,5.0
69.0,2.0,15.0,-0.3013827091408978,0.6666666666666666,-0.9680493758075644,3.0
69.0,2.0,16.0,-0.7450762253275838,0.8888888888888888,-1.6339651142164726,6.0
69.0,2.0,17.0,-0.3377164517949558,,,6.0
69.0,2.0,18.0,-0.6348263745264298,0.6666666666666666,-1.3014930411930963,5.0
69.0,2.0,19.0,0.5851425323536805,,,10.0
69.0,3.0,1.0,0.7283431663760858,0.047619047619047616,0.6807241187570381,14.0
69.0,3.0,2.0,-0.1358940865250713,0.0,-0.1358940865250713,10.0
69.0,3.0,3.0,-0.2105432937157583,0.6666666666666666,-0.8772099603824249,2.0
69.0,3.0,4.0,-0.8292044702872443,,,4.0
69.0,3.0,5.0,0.8918247258809541,,,1.0
69.0,3.0,6.0,-0.23855669790177936,0.6666666666666666,-0.905223364568446,9.0
69.0,3.0,7.0,-0.6523394327053988,0.4444444444444444,-1.0967838771498433,9.0
69.0,3.0,8.0,-0.7143569831135226,0.6666666666666666,-1.381023649780189,10.0
69.0,3.0,9.0,0.8446675365579133,0.3333333333333333,0.51133420322458,8.0
69.0,3.0,10.0,0.8495075220661346,-0.3333333333333333,1.1828408553994678,8.0
69.0,3.0,11.0,0.18710313024214156,0.6666666666666666,-0.4795635364245251,8.0
69.0,3.0,12.0,-0.8790170988520191,,,5.0
69.0,3.0,13.0,-0.2385109323997675,0.3333333333333333,-0.5718442657331009,11.0
69.0,3.0,14.0,0.5220375784886637,,,8.0
69.0,3.0,15.0,-0.30349302830185,0.6666666666666666,-0.9701596949685166,3.0
69.0,3.0,16.0,-0.7291524782184814,0.8888888888888888,-1.6180413671073701,5.0
69.0,3.0,17.0,-0.3274423802637595,,,7.0
69.0,3.0,18.0,-0.6328518389623561,0.6666666666666666,-1.2995185056290226,8.0
69.0,3.0,19.0,0.6131822233363118,,,10.0
69.0,4.0,1.0,0.7040040511924963,-0.1851851851851852,0.8891892363776815,15.0
69.0,4.0,2.0,-0.1037771053632015,0.0,-0.1037771053632015,10.0
69.0,4.0,3.0,-0.1918535704396084,0.6666666666666666,-0.858520237106275,2.0
69.0,4.0,4.0,-0.8316359989736802,,,5.0
69.0,4.0,5.0,0.8934414584292987,,,1.0
69.0,4.0,6.0,-0.20881952284452646,0.6666666666666666,-0.8754861895111931,8.0
69.0,4.0,7.0,-0.6337714040595985,0.4444444444444444,-1.078215848504043,8.0
69.0,4.0,8.0,-0.7205066751679552,0.6666666666666666,-1.3871733418346217,11.0
69.0,4.0,9.0,0.8363953275124469,0.3333333333333333,0.5030619941791137,8.0
