measure,feature,feature_value,critical_score
1.0,1.0,0.047619047619047616,2
1.0,2.0,0.0,3
1.0,4.0,null,1
1.0,6.0,0.6666666666666666,2
1.0,7.0,0.4444444444444444,2
1.0,8.0,0.6666666666666666,3
1.0,9.0,0.3333333333333333,2
1.0,10.0,-0.3333333333333333,2
1.0,11.0,0.6666666666666666,2
1.0,13.0,0.3333333333333333,2
1.0,14.0,null,2
1.0,16.0,0.8888888888888888,3
1.0,17.0,null,3
1.0,18.0,0.6666666666666666,1
2.0,1.0,0.047619047619047616,5
2.0,2.0,0.0,6
2.0,3.0,0.6666666666666666,1
2.0,4.0,null,4
2.0,5.0,null,1
2.0,6.0,0.6666666666666666,5
2.0,7.0,0.4444444444444444,5
2.0,8.0,0.6666666666666666,6
2.0,9.0,0.3333333333333333,5
2.0,10.0,-0.3333333333333333,5
2.0,11.0,0.6666666666666666,5
2.0,12.0,null,3
2.0,13.0,0.3333333333333333,5
2.0,14.0,null,5
2.0,15.0,0.6666666666666666,2
2.0,16.0,0.8888888888888888,3
2.0,17.0,null,6
2.0,18.0,0.6666666666666666,4
3.0,1.0,0.047619047619047616,7
3.0,2.0,0.0,6
3.0,3.0,0.6666666666666666,1
3.0,4.0,null,4
3.0,5.0,null,1
3.0,6.0,0.6666666666666666,8
3.0,7.0,0.4444444444444444,6
3.0,8.0,0.6666666666666666,8
3.0,9.0,0.3333333333333333,6
3.0,10.0,-0.3333333333333333,7
3.0,11.0,0.6666666666666666,7
3.0,12.0,null,5
3.0,13.0,0.3333333333333333,8
3.0,14.0,null,8
3.0,15.0,0.6666666666666666,2
3.0,16.0,0.8888888888888888,2
3.0,17.0,null,7
3.0,18.0,0.6666666666666666,7
4.0,1.0,-0.1851851851851852,6
4.0,2.0,0.0,6
4.0,3.0,0.6666666666666666,1
4.0,4.0,null,5
4.0,5.0,null,1
4.0,6.0,0.6666666666666666,7
4.0,7.0,0.4444444444444444,5
4.0,8.0,0.6666666666666666,9
4.0,9.0,0.3333333333333333,6
4.0,10.0,-0.3333333333333333,7
