pid,measure,feature,feature_value,guideline_value,difference,critical_score
77.0,1.0,1.0,0.4986439929537543,0.047619047619047616,0.45102494533470666,9.0
77.0,1.0,2.0,0.15738636063997302,0.0,0.15738636063997302,7.0
77.0,1.0,3.0,-0.26241099971995296,0.6666666666666666,-0.9290776663866196,1.0
77.0,1.0,4.0,-0.7246799262841916,,,1.0
77.0,1.0,6.0,0.26360132180445084,0.6666666666666666,-0.4030653448622158,3.0
77.0,1.0,7.0,-0.38814900457725454,0.3333333333333333,-0.7214823379105879,4.0
77.0,1.0,8.0,-0.7011970799649719,0.6666666666666666,-1.3678637466316386,5.0
77.0,1.0,9.0,0.8256245018237851,0.3333333333333333,0.4922911684904518,4.0
77.0,1.0,10.0,0.897477679558053,-0.3333333333333333,1.2308110128913863,3.0
77.0,1.0,11.0,0.04790260779702837,0.6666666666666666,-0.6187640588696383,3.0
77.0,1.0,13.0,-0.19604806978786504,0.3333333333333333,-0.5293814031211983,5.0
77.0,1.0,14.0,0.29612831078377777,,,2.0
77.0,1.0,15.0,0.2336465680704773,0.6666666666666666,-0.43302009859618934,1.0
77.0,1.0,16.0,-0.8121151562405109,0.8888888888888888,-1.7010040451293997,6.0
77.0,1.0,17.0,-0.08556265009168262,,,3.0
77.0,1.0,18.0,0.3234375418799662,0.6666666666666666,-0.3432291247867004,2.0
77.0,1.0,19.0,-0.20895774182624027,,,10.0
77.0,2.0,1.0,0.526568881640372,0.047619047619047616,0.47894983402132435,12.0
77.0,2.0,2.0,0.13206045600959615,0.0,0.13206045600959615,10.0
77.0,2.0,3.0,-0.24599701598529602,0.6666666666666666,-0.9126636826519626,2.0
77.0,2.0,4.0,-0.7349595160552941,,,4.0
77.0,2.0,5.0,0.9494543161027678,,,1.0
77.0,2.0,6.0,0.2766149445062753,0.6666666666666666,-0.39005172216039136,6.0
77.0,2.0,7.0,-0.3777215352012451,0.3333333333333333,-0.7110548685345783,7.0
77.0,2.0,8.0,-0.7071022605409205,0.6666666666666666,-1.3737689272075873,8.0
77.0,2.0,9.0,0.8276043487694813,0.3333333333333333,0.494271015436148,7.0
77.0,2.0,10.0,0.9099687218325372,-0.3333333333333333,1.2433020551658704,6.0
77.0,2.0,11.0,0.0661141986113345,0.6666666666666666,-0.6005524680553321,6.0
77.0,2.0,12.0,-0.9371581269547496,,,3.0
77.0,2.0,13.0,-0.2027417966099797,0.3333333333333333,-0.5360751299433131,8.0
77.0,2.0,14.0,0.30006560526442705,,,5.0
77.0,2.0,15.0,0.22288006295321766,0.6666666666666666,-0.44378660371344897,3.0
77.0,2.0,16.0,-0.8390845904504244,0.8888888888888888,-1.7279734793393131,6.0
77.0,2.0,17.0,-0.12862149405048273,,,6.0
77.0,2.0,18.0,0.2824076930884933,0.6666666666666666,-0.38425897357817335,5.0
77.0,2.0,19.0,-0.2311009729010081,,,10.0
