measure,feature,feature_value,critical_score
11.0,3.0,,3.0
11.0,4.0,,6.0
11.0,5.0,,5.0
11.0,6.0,,5.0
11.0,7.0,0.1111111111111111,8.0
11.0,8.0,,6.0
11.0,9.0,,5.0
11.0,10.0,,5.0
11.0,11.0,0.3333333333333333,6.0
11.0,12.0,,5.0
11.0,13.0,,5.0
11.0,14.0,,5.0
11.0,15.0,,5.0
11.0,16.0,,5.0
11.0,17.0,,5.0
11.0,18.0,0.3333333333333333,4.0
11.0,19.0,,5.0
12.0,1.0,-0.6666666666666666,6.0
12.0,2.0,,2.0
12.0,3.0,,2.0
12.0,4.0,,3.0
12.0,5.0,,2.0
12.0,6.0,,2.0
12.0,7.0,0.1111111111111111,5.0
12.0,8.0,,3.0
12.0,9.0,,2.0
12.0,10.0,,2.0
12.0,11.0,0.3333333333333333,3.0
12.0,12.0,,2.0
12.0,13.0,,2.0
12.0,14.0,,2.0
12.0,15.0,,2.0
12.0,16.0,,2.0
12.0,17.0,,2.0
12.0,18.0,0.3333333333333333,3.0
12.0,19.0,,2.0
13.0,1.0,-0.6666666666666666,4.0
13.0,4.0,,2.0
13.0,5.0,,3.0
13.0,6.0,,3.0
13.0,7.0,0.1111111111111111,6.0
13.0,11.0,0.3333333333333333,4.0
13.0,13.0,,3.0
13.0,14.0,,1.0
13.0,15.0,,3.0
13.0,17.0,,3.0
13.0,18.0,0.3333333333333333,1.0
13.0,19.0,,1.0
14.0,1.0,-0.6666666666666666,4.0
14.0,2.0,-0.6666666666666666,1.0
14.0,4.0,,2.0
14.0,5.0,,3.0
14.0,6.0,,4.0
14.0,7.0,0.1111111111111111,6.0
14.0,11.0,0.3333333333333333,5.0
14.0,13.0,,3.0
14.0,14.0,,1.0
14.0,15.0,,4.0
14.0,17.0,,3.0
14.0,18.0,0.3333333333333333,2.0
14.0,19.0,,1.0
15.0,1.0,-0.6666666666666666,4.0
15.0,2.0,-0.6666666666666666,1.0
15.0,4.0,,2.0
15.0,5.0,,2.0
15.0,6.0,,4.0
15.0,7.0,0.1111111111111111,6.0
15.0,11.0,0.3333333333333333,6.0
15.0,13.0,,2.0
15.0,14.0,,1.0
15.0,15.0,,4.0
15.0,17.0,,3.0
15.0,18.0,0.3333333333333333,3.0
15.0,19.0,,1.0
16.0,1.0,-0.7333333333333333,6.0
16.0,2.0,-0.6666666666666666,2.0
16.0,3.0,,1.0
16.0,4.0,,2.0
16.0,5.0,,2.0
16.0,6.0,,5.0
16.0,7.0,0.1111111111111111,7.0
16.0,8.0,,1.0
16.0,9.0,,1.0
16.0,10.0,,1.0
16.0,11.0,0.5,9.0
16.0,12.0,,1.0
16.0,13.0,,2.0
16.0,14.0,,2.0
16.0,15.0,,5.0
16.0,16.0,,1.0
16.0,17.0,,4.0
16.0,18.0,0.3333333333333333,5.0
16.0,19.0,1.0,3.0
17.0,1.0,-0.6666666666666666,9.0
17.0,2.0,,3.0
17.0,3.0,,3.0
17.0,4.0,,2.0
17.0,5.0,,1.0
17.0,6.0,,6.0
17.0,7.0,0.16666666666666666,9.0
17.0,8.0,,2.0
17.0,9.0,,3.0
17.0,10.0,,3.0
17.0,11.0,0.5,10.0
17.0,12.0,,3.0
17.0,13.0,0.3333333333333333,4.0
17.0,14.0,-0.3333333333333333,3.0
17.0,15.0,,6.0
17.0,16.0,,2.0
17.0,17.0,,5.0
17.0,18.0,0.3333333333333333,7.0
17.0,19.0,1.0,3.0
18.0,1.0,-0.6,9.0
18.0,2.0,,3.0
18.0,3.0,,5.0
18.0,4.0,,3.0
18.0,5.0,,1.0
18.0,6.0,,7.0
18.0,7.0,0.16666666666666666,11.0
18.0,8.0,,2.0
18.0,9.0,,4.0
18.0,10.0,,3.0
18.0,11.0,0.5,9.0
18.0,12.0,,4.0
18.0,13.0,0.3333333333333333,6.0
18.0,14.0,-0.3333333333333333,4.0
18.0,15.0,,7.0
18.0,16.0,,3.0
18.0,17.0,,7.0
18.0,18.0,0.3333333333333333,8.0
18.0,19.0,1.0,3.0
19.0,1.0,-0.6,9.0
19.0,2.0,,3.0
19.0,3.0,,5.0
19.0,4.0,,4.0
19.0,5.0,,1.0
19.0,6.0,,5.0
19.0,7.0,0.16666666666666666,9.0
19.0,8.0,,2.0
19.0,9.0,,4.0
19.0,10.0,,3.0
19.0,11.0,0.5,8.0
19.0,12.0,,5.0
19.0,13.0,0.3333333333333333,6.0
19.0,14.0,-0.3333333333333333,4.0
19.0,15.0,,5.0
19.0,16.0,,3.0
19.0,17.0,,5.0
19.0,18.0,0.3333333333333333,6.0
19.0,19.0,1.0,3.0
20.0,1.0,-0.6,7.0
20.0,2.0,,1.0
20.0,3.0,,2.0
20.0,4.0,,3.0
20.0,6.0,,2.0
20.0,7.0,0.16666666666666666,6.0
20.0,8.0,,1.0
20.0,9.0,,2.0
20.0,10.0,,1.0
20.0,11.0,0.5,5.0
20.0,12.0,,3.0
20.0,13.0,0.3333333333333333,3.0
