pid,measure,feature,feature_value,guideline_value,difference,critical_score
56.0,1.0,1.0,0.9596569134861116,0.6666666666666666,0.29299024681944497,1.0
56.0,1.0,6.0,0.012353792205757495,0.3333333333333333,-0.3209795411275758,1.0
56.0,1.0,9.0,0.3422937020370094,0.3333333333333333,0.008960368703676058,1.0
56.0,1.0,11.0,-0.052794845882022316,0.6666666666666666,-0.719461512548689,1.0
56.0,1.0,12.0,-0.19155150576051166,0.0,-0.19155150576051166,1.0
56.0,1.0,13.0,-0.6031458576637851,1.0,-1.6031458576637851,2.0
56.0,1.0,15.0,0.5304611597497118,1.0,-0.46953884025028825,1.0
56.0,1.0,18.0,-0.32144085465374184,1.0,-1.321440854653742,1.0
56.0,1.0,19.0,-0.08526711183920788,1.0,-1.0852671118392079,1.0
56.0,2.0,1.0,0.9534149514138466,0.6666666666666666,0.28674828474717995,1.0
56.0,2.0,6.0,0.033652480448258304,0.3333333333333333,-0.299680852885075,1.0
56.0,2.0,9.0,0.3392421817144531,0.3333333333333333,0.005908848381119769,1.0
56.0,2.0,11.0,-0.055618314614177655,0.6666666666666666,-0.7222849812808443,1.0
56.0,2.0,12.0,-0.19154504429878366,0.0,-0.19154504429878366,1.0
56.0,2.0,13.0,-0.6156604737515232,1.0,-1.6156604737515232,2.0
56.0,2.0,15.0,0.5456560471751324,1.0,-0.4543439528248676,1.0
56.0,2.0,18.0,-0.3210620989706843,1.0,-1.3210620989706843,1.0
56.0,2.0,19.0,-0.08302080367375897,1.0,-1.083020803673759,1.0
56.0,3.0,1.0,0.9548493959174682,0.6666666666666666,0.2881827292508016,1.0
56.0,3.0,9.0,0.33518609413618106,0.3333333333333333,0.0018527608028477416,1.0
56.0,3.0,11.0,-0.04882978889691858,0.6666666666666666,-0.7154964555635852,1.0
56.0,3.0,13.0,-0.5902918247923341,1.0,-1.590291824792334,1.0
56.0,3.0,15.0,0.547547355031524,1.0,-0.45245264496847604,1.0
56.0,3.0,18.0,-0.3373761495759975,1.0,-1.3373761495759975,1.0
56.0,3.0,19.0,-0.09111359444511924,1.0,-1.0911135944451194,1.0
56.0,4.0,1.0,0.9874698954084148,0.6666666666666666,0.32080322874174816,1.0
56.0,4.0,9.0,0.3280617624520565,0.3333333333333333,-0.0052715708812768325,1.0
56.0,4.0,11.0,-0.08685815176823819,0.6666666666666666,-0.7535248184349048,1.0
56.0,4.0,13.0,-0.589568331121787,1.0,-1.589568331121787,1.0
56.0,4.0,15.0,0.5918784937325487,1.0,-0.40812150626745125,1.0
56.0,4.0,18.0,-0.3168124526050592,1.0,-1.3168124526050593,1.0
56.0,4.0,19.0,-0.08145541954864867,1.0,-1.0814554195486488,1.0
56.0,5.0,1.0,0.9895094367985666,0.6666666666666666,0.3228427701319,1.0
56.0,5.0,4.0,-0.9642810395674736,-0.3333333333333333,-0.6309477062341402,1.0
56.0,5.0,9.0,0.3490134321911642,0.3333333333333333,0.015680098857830893,1.0
56.0,5.0,10.0,-0.10832692848857983,0.3333333333333333,-0.44166026182191315,2.0
56.0,5.0,11.0,-0.09460050326234913,0.6666666666666666,-0.7612671699290158,1.0
56.0,5.0,12.0,-0.15071639794033287,0.6666666666666666,-0.8173830646069995,2.0
56.0,5.0,13.0,-0.5768809659543206,0.7777777777777777,-1.3546587437320983,3.0
56.0,5.0,15.0,0.5803951459409029,-0.11111111111111108,0.691506257052014,3.0
56.0,5.0,16.0,-0.6096232830031394,0.6666666666666666,-1.2762899496698061,2.0
56.0,5.0,17.0,-0.216429083628371,0.6666666666666666,-0.8830957502950376,2.0
56.0,5.0,18.0,-0.31044629743752195,0.7777777777777777,-1.0882240752152996,3.0
56.0,5.0,19.0,-0.09541730804196837,1.0,-1.0954173080419685,1.0
56.0,6.0,1.0,0.9920563929773608,0.6666666666666666,0.3253897263106942,1.0
56.0,6.0,4.0,-0.9577600943829516,-0.3333333333333333,-0.6244267610496184,1.0
56.0,6.0,9.0,0.35526090551019696,0.3333333333333333,0.02192757217686364,1.0
56.0,6.0,10.0,-0.1275822744810886,0.3333333333333333,-0.4609156078144219,2.0
56.0,6.0,11.0,-0.08931616782677597,0.6666666666666666,-0.7559828344934426,1.0
56.0,6.0,12.0,-0.17265705140981236,0.6666666666666666,-0.839323718076479,2.0
56.0,6.0,13.0,-0.6036358835186593,0.7777777777777777,-1.381413661296437,3.0
56.0,6.0,15.0,0.6122568037647901,-0.11111111111111108,0.7233679148759011,3.0
56.0,6.0,16.0,-0.6051866343333854,0.6666666666666666,-1.2718533010000521,2.0
56.0,6.0,17.0,-0.20789216238470495,0.6666666666666666,-0.8745588290513716,2.0
56.0,6.0,18.0,-0.3153319226758773,0.7777777777777777,-1.093109700453655,3.0
56.0,6.0,19.0,-0.08664549366018938,1.0,-1.0866454936601895,1.0
56.0,7.0,1.0,0.980900109174948,0.6666666666666666,0.31423344250828134,2.0
56.0,7.0,4.0,-0.9554177194850462,0.3333333333333333,-1.2887510528183794,3.0
56.0,7.0,9.0,0.3362638279438173,0.3333333333333333,0.0029304946104840024,1.0
56.0,7.0,11.0,-0.07282765775480626,0.6666666666666666,-0.7394943244214729,1.0
56.0,7.0,13.0,-0.6092821558324976,1.0,-1.6092821558324975,1.0
56.0,7.0,15.0,0.5887007848633041,1.0,-0.4112992151366959,2.0
56.0,7.0,18.0,-0.3036720249446627,1.0,-1.3036720249446627,1.0
56.0,7.0,19.0,-0.08671580956722967,1.0,-1.0867158095672296,1.0
56.0,8.0,1.0,0.9591664125237576,0.6666666666666666,0.29249974585709093,2.0
56.0,8.0,4.0,-0.9332039742360616,,,3.0
56.0,8.0,5.0,0.3252257508824297,,,1.0
56.0,8.0,9.0,0.3396636970707108,0.3333333333333333,0.006330363737377498,1.0
56.0,8.0,11.0,-0.06026277529568413,0.6666666666666666,-0.7269294419623508,1.0
56.0,8.0,13.0,-0.6083484746127978,1.0,-1.6083484746127978,1.0
56.0,8.0,15.0,0.5536249299157081,1.0,-0.4463750700842919,2.0
56.0,8.0,18.0,-0.30710334618673263,1.0,-1.3071033461867327,1.0
56.0,8.0,19.0,-0.0800435901610751,1.0,-1.080043590161075,1.0
56.0,9.0,1.0,0.949983155064297,0.6666666666666666,0.28331648839763035,1.0
56.0,9.0,4.0,-0.9359797421772248,,,3.0
56.0,9.0,5.0,0.2994787263261665,,,1.0
56.0,9.0,9.0,0.3446048148627305,0.3333333333333333,0.011271481529397165,1.0
56.0,9.0,10.0,-0.09711629239045516,-0.6,0.5028837076095448,1.0
56.0,9.0,11.0,-0.0497507372361542,0.6666666666666666,-0.7164174039028208,1.0
56.0,9.0,13.0,-0.6006944931099675,1.0,-1.6006944931099674,1.0
56.0,9.0,15.0,0.5268163252061293,1.0,-0.4731836747938707,1.0
56.0,9.0,18.0,-0.3296814038513827,1.0,-1.3296814038513827,1.0
56.0,9.0,19.0,-0.08839635974549231,1.0,-1.0883963597454924,1.0
56.0,10.0,1.0,0.9603347968385784,0.6666666666666666,0.29366813017191173,1.0
56.0,10.0,4.0,-0.9295509678438229,,,3.0
56.0,10.0,5.0,0.2957975935711119,,,1.0
56.0,10.0,9.0,0.3301246791302248,0.3333333333333333,-0.0032086542031085075,1.0
56.0,10.0,11.0,-0.05762269805080966,0.6666666666666666,-0.7242893647174763,1.0
56.0,10.0,13.0,-0.6241163416591009,1.0,-1.624116341659101,1.0
56.0,10.0,15.0,0.5611588042475941,1.0,-0.4388411957524059,1.0
56.0,10.0,18.0,-0.31677710460854713,1.0,-1.3167771046085472,1.0
56.0,10.0,19.0,-0.0851403531635434,1.0,-1.0851403531635433,1.0
56.0,11.0,1.0,0.9487874045586282,0.6666666666666666,0.28212073789196157,1.0
56.0,11.0,4.0,-0.9436882660187592,,,1.0
56.0,11.0,5.0,0.3024074788758901,,,1.0
56.0,11.0,9.0,0.3308780095505157,0.3333333333333333,-0.0024553237828175978,1.0
