pid,measure,feature,feature_value,guideline_value,difference,critical_score
53.0,1.0,1.0,0.9476509420821622,0.6666666666666666,0.28098427541549553,1.0
53.0,1.0,6.0,-0.03108174679389364,0.3333333333333333,-0.36441508012722695,1.0
53.0,1.0,9.0,0.3256216096186366,0.3333333333333333,-0.007711723714696694,1.0
53.0,1.0,11.0,-0.08691464121832826,0.6666666666666666,-0.7535813078849949,1.0
53.0,1.0,12.0,-0.1671853939220025,0.0,-0.1671853939220025,1.0
53.0,1.0,13.0,-0.6101471686624478,1.0,-1.6101471686624478,2.0
53.0,1.0,15.0,0.4551668944758056,1.0,-0.5448331055241944,1.0
53.0,1.0,18.0,-0.3316104720579132,1.0,-1.3316104720579132,1.0
53.0,1.0,19.0,-0.0772255949390559,1.0,-1.077225594939056,1.0
53.0,2.0,1.0,0.9302367309347136,0.6666666666666666,0.26357006426804697,1.0
53.0,2.0,6.0,-0.010981698580660226,0.3333333333333333,-0.34431503191399354,1.0
53.0,2.0,9.0,0.3027896929920864,0.3333333333333333,-0.030543640341246903,1.0
53.0,2.0,11.0,-0.08336175769043419,0.6666666666666666,-0.7500284243571008,1.0
53.0,2.0,12.0,-0.17269166371375574,0.0,-0.17269166371375574,1.0
53.0,2.0,13.0,-0.6014647358910007,1.0,-1.6014647358910006,2.0
53.0,2.0,15.0,0.4297586953905959,1.0,-0.5702413046094041,1.0
53.0,2.0,18.0,-0.34042188466514434,1.0,-1.3404218846651443,1.0
53.0,2.0,19.0,-0.08533447712025677,1.0,-1.0853344771202567,1.0
53.0,3.0,1.0,0.9358680218663632,0.6666666666666666,0.26920135519969657,1.0
53.0,3.0,9.0,0.3052339575460248,0.3333333333333333,-0.028099375787308534,1.0
53.0,3.0,11.0,-0.08431110820193,0.6666666666666666,-0.7509777748685966,1.0
53.0,3.0,13.0,-0.5847845406112943,1.0,-1.5847845406112944,1.0
53.0,3.0,15.0,0.4555975637633132,1.0,-0.5444024362366868,1.0
53.0,3.0,18.0,-0.3466640115785412,1.0,-1.3466640115785413,1.0
53.0,3.0,19.0,-0.09005895050553002,1.0,-1.09005895050553,1.0
53.0,4.0,1.0,0.9668040334139713,0.6666666666666666,0.3001373667473046,1.0
53.0,4.0,9.0,0.312458853729225,0.3333333333333333,-0.02087447960410832,1.0
53.0,4.0,11.0,-0.10979627170021287,0.6666666666666666,-0.7764629383668795,1.0
53.0,4.0,13.0,-0.6024597494992479,1.0,-1.6024597494992479,1.0
53.0,4.0,15.0,0.515887765631946,1.0,-0.48411223436805395,1.0
53.0,4.0,18.0,-0.3247000620410504,1.0,-1.3247000620410505,1.0
53.0,4.0,19.0,-0.07170827762389498,1.0,-1.071708277623895,1.0
53.0,5.0,1.0,0.9708457698526528,0.6666666666666666,0.3041791031859862,1.0
53.0,5.0,4.0,-0.947494803751334,-0.3333333333333333,-0.6141614704180007,1.0
53.0,5.0,9.0,0.3367201357593326,0.3333333333333333,0.003386802425999258,1.0
53.0,5.0,10.0,-0.1009455483221896,0.3333333333333333,-0.4342788816555229,2.0
53.0,5.0,11.0,-0.12724951743036814,0.6666666666666666,-0.7939161840970348,1.0
53.0,5.0,12.0,-0.14520082234081744,0.6666666666666666,-0.8118674890074841,2.0
53.0,5.0,13.0,-0.5942321064414151,0.7777777777777777,-1.3720098842191928,3.0
53.0,5.0,15.0,0.4953960827139126,-0.11111111111111108,0.6065071938250237,3.0
53.0,5.0,16.0,-0.6038640738497478,0.6666666666666666,-1.2705307405164143,2.0
53.0,5.0,17.0,-0.2674352244575965,0.6666666666666666,-0.9341018911242631,2.0
53.0,5.0,18.0,-0.3195779698757971,0.7777777777777777,-1.097355747653575,3.0
53.0,5.0,19.0,-0.08774154834538939,1.0,-1.0877415483453894,1.0
53.0,6.0,1.0,0.9674921099968764,0.6666666666666666,0.3008254433302098,1.0
53.0,6.0,4.0,-0.9492184935910094,-0.3333333333333333,-0.615885160257676,1.0
53.0,6.0,9.0,0.3238700247823569,0.3333333333333333,-0.009463308550976435,1.0
53.0,6.0,10.0,-0.109590787764831,0.3333333333333333,-0.4429241210981643,2.0
53.0,6.0,11.0,-0.1155774406994261,0.6666666666666666,-0.7822441073660927,1.0
53.0,6.0,12.0,-0.15269840822679606,0.6666666666666666,-0.8193650748934627,2.0
53.0,6.0,13.0,-0.5923507132050957,0.7777777777777777,-1.3701284909828733,3.0
53.0,6.0,15.0,0.49120833484086,-0.11111111111111108,0.6023194459519711,3.0
53.0,6.0,16.0,-0.5956530941397216,0.6666666666666666,-1.2623197608063883,2.0
53.0,6.0,17.0,-0.2698802255130953,0.6666666666666666,-0.936546892179762,2.0
53.0,6.0,18.0,-0.3417321209412893,0.7777777777777777,-1.119509898719067,3.0
53.0,6.0,19.0,-0.07676933222232074,1.0,-1.0767693322223209,1.0
53.0,7.0,1.0,0.948484293597877,0.6666666666666666,0.2818176269312104,2.0
53.0,7.0,4.0,-0.9452794070573236,0.3333333333333333,-1.2786127403906569,3.0
53.0,7.0,9.0,0.3127969079454984,0.3333333333333333,-0.0205364253878349,1.0
53.0,7.0,11.0,-0.10215543626071533,0.6666666666666666,-0.768822102927382,1.0
53.0,7.0,13.0,-0.6140839536287571,1.0,-1.6140839536287572,1.0
53.0,7.0,15.0,0.4768285101227077,1.0,-0.5231714898772923,2.0
53.0,7.0,18.0,-0.34061273063201114,1.0,-1.340612730632011,1.0
53.0,7.0,19.0,-0.08223711980753745,1.0,-1.0822371198075373,1.0
53.0,8.0,1.0,0.9343099528151068,0.6666666666666666,0.26764328614844013,2.0
53.0,8.0,4.0,-0.9274927102456482,,,3.0
53.0,8.0,5.0,0.2754382345394744,,,1.0
53.0,8.0,9.0,0.3127663431307375,0.3333333333333333,-0.020566990202595836,1.0
53.0,8.0,11.0,-0.08523836366661043,0.6666666666666666,-0.751905030333277,1.0
53.0,8.0,13.0,-0.6185077502519525,1.0,-1.6185077502519525,1.0
53.0,8.0,15.0,0.4550310099378918,1.0,-0.5449689900621082,2.0
53.0,8.0,18.0,-0.3349725096189405,1.0,-1.3349725096189404,1.0
53.0,8.0,19.0,-0.08064627643683864,1.0,-1.0806462764368385,1.0
53.0,9.0,1.0,0.9353776959524543,0.6666666666666666,0.2687110292857877,1.0
53.0,9.0,4.0,-0.9274774278382674,,,3.0
53.0,9.0,5.0,0.2549697514205964,,,1.0
53.0,9.0,9.0,0.31586112268799504,0.3333333333333333,-0.01747221064533827,1.0
53.0,9.0,10.0,-0.08695956781351932,-0.6,0.5130404321864807,1.0
53.0,9.0,11.0,-0.08265213843688413,0.6666666666666666,-0.7493188051035508,1.0
53.0,9.0,13.0,-0.6092913538491367,1.0,-1.6092913538491367,1.0
53.0,9.0,15.0,0.4373925340652687,1.0,-0.5626074659347313,1.0
53.0,9.0,18.0,-0.3335549282403516,1.0,-1.3335549282403516,1.0
