pid,measure,feature,feature_value
53,1,1,0.9476509420821622
53,1,2,-0.8655877287055993
53,1,3,0.12507315531906493
53,1,4,-0.939666896915467
53,1,5,0.2565458647600851
53,1,6,-0.03108174679389364
53,1,7,-0.6327886075729117
53,1,8,-0.6660103517135582
53,1,9,0.3256216096186366
53,1,10,-0.09804980831165944
53,1,11,-0.08691464121832826
53,1,12,-0.1671853939220025
53,1,13,-0.6101471686624478
53,1,14,0.26523639904869767
53,1,15,0.4551668944758056
53,1,16,-0.5900244730262287
53,1,17,-0.2481810482866077
53,1,18,-0.33161047205791316
53,1,19,-0.0772255949390559
53,2,1,0.9302367309347135
53,2,2,-0.8569912824913417
53,2,3,0.10656781710972307
53,2,4,-0.9251278957975497
53,2,5,0.25230674590318714
53,2,6,-0.010981698580660226
53,2,7,-0.6364507695198466
53,2,8,-0.6657833251075316
53,2,9,0.30278969299208636
53,2,10,-0.09385800968002411
53,2,11,-0.08336175769043419
53,2,12,-0.17269166371375577
53,2,13,-0.6014647358910007
53,2,14,0.26716106175169707
53,2,15,0.42975869539059586
53,2,16,-0.5859434258167547
53,2,17,-0.24450590549966889
53,2,18,-0.34042188466514434
53,2,19,-0.08533447712025677
53,3,1,0.9358680218663631
53,3,2,-0.8684700275626502
53,3,3,0.12286438713909931
53,3,4,-0.941463684535023
53,3,5,0.28152928657027143
53,3,6,-0.018504877895866634
53,3,7,-0.6293833005452043
53,3,8,-0.6693240563596774
53,3,9,0.3052339575460248
53,3,10,-0.09621739242911376
53,3,11,-0.08431110820193
53,3,12,-0.1697272449327082
53,3,13,-0.5847845406112943
53,3,14,0.2790846537655529
53,3,15,0.4555975637633132
53,3,16,-0.6022336435201721
53,3,17,-0.23626224353289482
53,3,18,-0.3466640115785412
53,3,19,-0.09005895050553003
53,4,1,0.9668040334139711
53,4,2,-0.8700820453532137
53,4,3,0.12188244643355106
53,4,4,-0.9554776521029927
53,4,5,0.27515284018477715
53,4,6,-0.02933145083534472
53,4,7,-0.5959629771713055
53,4,8,-0.6621516359126631
53,4,9,0.312458853729225
53,4,10,-0.11111479361891363
53,4,11,-0.10979627170021289
53,4,12,-0.14600655504801396
53,4,13,-0.6024597494992479
53,4,14,0.25329678812590095
53,4,15,0.515887765631946
53,4,16,-0.5895242964039482
53,4,17,-0.24736739818763542
53,4,18,-0.3247000620410504
53,4,19,-0.07170827762389498
53,5,1,0.9708457698526527
53,5,2,-0.8788390489076622
53,5,3,0.14432677911388359
53,5,4,-0.9474948037513339
53,5,5,0.28008942601947706
53,5,6,-0.03335864136820632
53,5,7,-0.6043242952623706
53,5,8,-0.6593383840769099
53,5,9,0.3367201357593326
53,5,10,-0.1009455483221896
53,5,11,-0.12724951743036816
53,5,12,-0.14520082234081744
53,5,13,-0.5942321064414151
53,5,14,0.254043968959037
53,5,15,0.49539608271391256
53,5,16,-0.6038640738497478
53,5,17,-0.2674352244575965
53,5,18,-0.3195779698757971
53,5,19,-0.08774154834538939
53,6,1,0.9674921099968763
53,6,2,-0.8693343121439072
53,6,3,0.13904293279340396
53,6,4,-0.9492184935910094
53,6,5,0.26756889949082896
53,6,6,-0.02852792763282963
53,6,7,-0.6046842604000695
53,6,8,-0.6622122131660149
53,6,9,0.32387002478235694
53,6,10,-0.109590787764831
53,6,11,-0.1155774406994261
53,6,12,-0.15269840822679603
53,6,13,-0.5923507132050957
53,6,14,0.2564372307799101
53,6,15,0.49120833484086
53,6,16,-0.5956530941397216
53,6,17,-0.2698802255130953
53,6,18,-0.34173212094128935
53,6,19,-0.07676933222232074
53,7,1,0.948484293597877
53,7,2,-0.8653469847580082
53,7,3,0.12436611382097662
53,7,4,-0.9452794070573237
53,7,5,0.2703876750882859
53,7,6,-0.030945862255979728
53,7,7,-0.6338877440892758
53,7,8,-0.6688920061317438
53,7,9,0.3127969079454984
53,7,10,-0.10761770008422811
53,7,11,-0.10215543626071533
53,7,12,-0.1595782534288981
53,7,13,-0.614083953628757
53,7,14,0.2729924969824151
53,7,15,0.47682851012270766
53,7,16,-0.5866092232274548
53,7,17,-0.24878184943459203
53,7,18,-0.34061273063201114
53,7,19,-0.08223711980753745
53,8,1,0.9343099528151069
53,8,2,-0.87553491878183
53,8,3,0.1271001917389749
53,8,4,-0.9274927102456482
53,8,5,0.27543823453947436
53,8,6,-0.027999856013944946
53,8,7,-0.6464578924105632
53,8,8,-0.6645715038524096
53,8,9,0.3127663431307375
53,8,10,-0.09444352842062853
53,8,11,-0.08523836366661042
53,8,12,-0.17123154937004725
53,8,13,-0.6185077502519525
53,8,14,0.2734594389717775
53,8,15,0.4550310099378918
53,8,16,-0.5889094096636185
53,8,17,-0.23787021056487556
53,8,18,-0.33497250961894054
53,8,19,-0.08064627643683864
53,9,1,0.9353776959524545
53,9,2,-0.8588175301733182
53,9,3,0.13073629994320646
53,9,4,-0.9274774278382674
53,9,5,0.2549697514205964
53,9,6,-0.027897298171644103
53,9,7,-0.6381660816542709
53,9,8,-0.6673061341465787
53,9,9,0.31586112268799504
53,9,10,-0.08695956781351932
53,9,11,-0.08265213843688413
53,9,12,-0.17145728709834307
53,9,13,-0.6092913538491367
53,9,14,0.270752795736908
53,9,15,0.4373925340652687
53,9,16,-0.586046167784446
53,9,17,-0.24581485289808302
53,9,18,-0.3335549282403516
53,9,19,-0.07985343250695098
53,10,1,0.9238827478468146
53,10,2,-0.858385848196165
53,10,3,0.10574956387599777
53,10,4,-0.9148352864894405
53,10,5,0.2537917171745627
53,10,6,-0.0020424108899856908
53,10,7,-0.643382446019269
53,10,8,-0.6608627581817728
53,10,9,0.3036300412726267
53,10,10,-0.09376723586269142
53,10,11,-0.08435879667797286
53,10,12,-0.1836651687145553
53,10,13,-0.6056462235007888
53,10,14,0.2698143086234297
53,10,15,0.4306463638963989
53,10,16,-0.5864036472293777
53,10,17,-0.2449327081539837
53,10,18,-0.3411580179748728
53,10,19,-0.08725011767913993
53,11,1,0.9289183931414029
53,11,2,-0.8713330853164327
53,11,3,0.11733712705287158
53,11,4,-0.9356764393979358
53,11,5,0.2639775337563983
53,11,6,-0.01532945141773323
53,11,7,-0.6422006372027375
53,11,8,-0.6685538598527752
53,11,9,0.30499588341659023
53,11,10,-0.09571288886016538
53,11,11,-0.08684504182086017
53,11,12,-0.1732468017649892
53,11,13,-0.5997688489852344
53,11,14,0.2868009806150027
53,11,15,0.44647783319031387
53,11,16,-0.5869052968547792
53,11,17,-0.23729905360470105
53,11,18,-0.33733585106391795
53,11,19,-0.08575465126052706
