measure,feature,critical_score,feature_value
21,7,4,0.16666666666666666
21,18,1,0.3333333333333333
21,14,1,-0.3333333333333333
21,13,1,0.3333333333333333
22,1,5,-0.6
22,11,2,0.5
22,19,1,1.0
22,2,1,-0.3333333333333333
22,7,4,0.16666666666666666
22,18,1,0.3333333333333333
22,14,1,-0.3333333333333333
22,13,1,0.3333333333333333
23,1,5,-0.6
23,11,2,0.5
23,19,1,1.0
23,2,2,-0.3333333333333333
23,7,4,0.16666666666666666
23,18,1,0.3333333333333333
23,14,1,-0.3333333333333333
23,13,1,0.3333333333333333
24,1,5,-0.6
24,11,2,0.5
24,19,1,1.0
24,2,1,-0.3333333333333333
24,7,4,0.16666666666666666
24,18,1,0.3333333333333333
24,14,1,-0.3333333333333333
24,13,1,0.3333333333333333
25,1,7,-0.7619047619047619
25,6,2,-0.6666666666666666
25,11,2,0.3333333333333333
25,7,8,0.20833333333333331
25,18,1,0.3333333333333333
25,14,3,-0.3333333333333333
25,13,2,0.3333333333333333
25,15,2,0.16666666666666666
26,1,8,-0.6666666666666666
26,6,2,-0.6666666666666666
26,11,2,0.3333333333333333
26,7,8,0.20833333333333331
26,18,1,0.3333333333333333
26,14,3,-0.3333333333333333
26,13,2,0.3333333333333333
26,15,2,0.16666666666666666
27,1,8,-0.6666666666666666
27,6,2,-0.6666666666666666
27,11,2,0.3333333333333333
27,7,8,0.20833333333333331
27,18,1,0.3333333333333333
27,14,3,-0.3333333333333333
27,13,2,0.3333333333333333
27,15,2,0.16666666666666666
28,1,7,-0.619047619047619
28,6,2,-0.6666666666666666
28,11,2,0.3333333333333333
28,7,8,0.20833333333333331
28,18,1,0.3333333333333333
28,14,3,-0.3333333333333333
28,13,2,0.3333333333333333
28,15,2,0.16666666666666666
29,1,7,-0.619047619047619
29,6,2,-0.6666666666666666
29,11,2,0.3333333333333333
29,7,8,0.20833333333333331
29,18,1,0.3333333333333333
29,14,3,-0.3333333333333333
29,13,2,0.3333333333333333
29,15,2,0.16666666666666666
30,4,2,0.16666666666666666
30,5,2,0.16666666666666666
30,1,4,-0.5833333333333333
30,11,2,0.3333333333333333
30,7,8,0.20833333333333331
30,18,1,0.3333333333333333
30,14,3,-0.3333333333333333
30,13,2,0.3333333333333333
30,15,2,0.16666666666666666
30,6,1,-0.3333333333333333
31,4,2,0.16666666666666666
31,5,2,0.16666666666666666
31,1,4,-0.5833333333333333
31,11,2,0.3333333333333333
31,7,8,0.20833333333333331
31,18,1,0.3333333333333333
31,14,3,-0.3333333333333333
31,13,2,0.3333333333333333
31,15,2,0.16666666666666666
31,6,1,-0.3333333333333333
32,4,2,0.16666666666666666
32,5,2,0.16666666666666666
32,1,4,-0.5833333333333333
32,11,2,0.3333333333333333
32,7,8,0.20833333333333331
32,18,1,0.3333333333333333
32,14,3,-0.3333333333333333
32,13,2,0.3333333333333333
32,15,2,0.16666666666666666
32,6,1,-0.3333333333333333
33,19,2,1.0
34,19,2,1.0
35,19,2,1.0
36,19,2,1.0
37,19,2,1.0
38,19,2,1.0
38,10,2,-0.16666666666666666
38,9,1,0.6666666666666666
39,19,2,1.0
40,1,1,0.3333333333333333
40,19,2,1.0
41,1,9,0.2222222222222222
41,19,6,1.0
41,12,1,-0.3333333333333333
41,10,3,-0.7777777777777777
41,6,1,0.6666666666666666
41,13,1,0.6666666666666666
41,7,2,0.3333333333333333
41,4,1,0.0
42,1,9,0.2222222222222222
42,19,6,1.0
42,12,1,-0.3333333333333333
42,10,3,-0.7777777777777777
42,6,1,0.6666666666666666
42,13,1,0.6666666666666666
42,7,2,0.3333333333333333
42,4,1,0.0
43,1,9,0.2222222222222222
43,19,6,1.0
43,12,1,-0.3333333333333333
43,10,3,-0.7777777777777777
43,6,1,0.6666666666666666
43,13,1,0.6666666666666666
43,7,2,0.3333333333333333
43,4,1,0.0
44,1,9,0.2222222222222222
44,19,6,1.0
44,12,1,-0.3333333333333333
44,10,3,-0.7777777777777777
44,6,1,0.6666666666666666
44,13,1,0.6666666666666666
44,7,2,0.3333333333333333
44,4,1,0.0
45,1,9,0.2222222222222222
45,19,6,1.0
45,12,1,-0.3333333333333333
45,10,3,-0.7777777777777777
45,6,1,0.6666666666666666
45,13,1,0.6666666666666666
45,7,2,0.3333333333333333
45,4,1,0.0
46,1,4,0.16666666666666666
46,5,1,-0.3333333333333333
46,10,1,-0.6666666666666666
46,13,1,0.6666666666666666
46,7,1,0.3333333333333333
46,4,1,0.0
47,10,1,-0.6666666666666666
47,13,1,0.6666666666666666
47,1,3,0.2222222222222222
47,4,2,0.0
47,5,1,0.0
47,7,1,0.3333333333333333
48,10,1,-0.6666666666666666
48,13,1,0.6666666666666666
48,1,3,0.2222222222222222
48,7,1,0.3333333333333333
48,4,1,0.0
49,2,1,-0.6666666666666666
49,1,1,-0.6666666666666666
49,7,3,0.6666666666666666
49,10,1,0.3333333333333333
49,13,1,0.6666666666666666
50,19,1,1.0
50,2,1,-0.6666666666666666
50,1,1,-0.6666666666666666
50,7,2,0.6666666666666666
50,13,1,0.6666666666666666
51,19,1,1.0
51,2,1,-0.6666666666666666
51,1,1,-0.6666666666666666
51,7,2,0.6666666666666666
51,13,1,0.6666666666666666
52,19,1,1.0
52,2,1,-0.6666666666666666
52,1,1,-0.6666666666666666
52,7,2,0.6666666666666666
52,13,1,0.6666666666666666
53,19,1,1.0
53,2,1,-0.6666666666666666
53,1,1,-0.6666666666666666
53,7,3,0.6666666666666666
53,13,1,0.6666666666666666
54,19,1,1.0
54,2,1,-0.6666666666666666
54,10,1,-0.6666666666666666
54,1,1,-0.6666666666666666
54,7,3,0.6666666666666666
54,13,1,0.6666666666666666
55,19,1,1.0
55,2,1,-0.6666666666666666
55,10,1,-0.6666666666666666
55,1,1,-0.6666666666666666
55,7,4,0.5833333333333334
55,13,1,0.6666666666666666
56,19,1,1.0
56,2,1,-0.6666666666666666
56,10,1,-0.6666666666666666
56,1,1,-0.6666666666666666
56,7,4,0.5833333333333334
56,13,1,0.6666666666666666
57,19,2,1.0
57,10,1,-0.3333333333333333
57,12,1,-0.6666666666666666
57,13,1,0.6666666666666666
57,14,3,-0.6666666666666666
57,18,1,0.6666666666666666
