pid,measure,feature,feature_value,guideline_value,difference,critical_score
71.0,1.0,1.0,0.6903038124268188,0.1111111111111111,0.5791927013157077,8.0
71.0,1.0,2.0,-0.930194416305121,0.0,-0.930194416305121,7.0
71.0,1.0,3.0,0.6766487760941517,0.6666666666666666,0.00998210942748512,1.0
71.0,1.0,4.0,-0.8535519736946277,,,1.0
71.0,1.0,6.0,-0.044094829564929716,0.6666666666666666,-0.7107614962315963,3.0
71.0,1.0,7.0,-0.3281582924381281,0.4444444444444444,-0.7726027368825725,5.0
71.0,1.0,8.0,-0.5942798846166861,0.6666666666666666,-1.2609465512833529,5.0
71.0,1.0,9.0,0.4593485465281515,0.3333333333333333,0.12601521319481818,4.0
71.0,1.0,10.0,0.10882758901933398,-0.3333333333333333,0.4421609223526673,3.0
71.0,1.0,11.0,-0.1200086937315259,0.6666666666666666,-0.7866753603981925,3.0
71.0,1.0,13.0,-0.4008920871209412,0.3333333333333333,-0.7342254204542745,5.0
71.0,1.0,14.0,0.6040041741758124,,,2.0
71.0,1.0,15.0,0.08373423563452542,0.6666666666666666,-0.5829324310321412,1.0
71.0,1.0,16.0,-0.6818734444662271,0.8888888888888888,-1.570762333355116,6.0
71.0,1.0,17.0,-0.128270016912452,,,3.0
71.0,1.0,18.0,-0.34760778284899485,0.6666666666666666,-1.0142744495156615,2.0
71.0,1.0,19.0,-0.07556928164739851,,,10.0
71.0,2.0,1.0,0.7556421258223986,0.1111111111111111,0.6445310147112875,11.0
71.0,2.0,2.0,-0.9189019060710202,0.0,-0.9189019060710202,10.0
71.0,2.0,3.0,0.6550333709659211,0.6666666666666666,-0.01163329570074556,2.0
71.0,2.0,4.0,-0.8114223466491031,,,4.0
71.0,2.0,5.0,0.6346853460388784,,,1.0
71.0,2.0,6.0,-0.03233254798895402,0.6666666666666666,-0.6989992146556206,6.0
71.0,2.0,7.0,-0.3007586852735915,0.4444444444444444,-0.7452031297180359,8.0
71.0,2.0,8.0,-0.6059765531245436,0.6666666666666666,-1.27264321979121,8.0
71.0,2.0,9.0,0.4613704770127005,0.3333333333333333,0.1280371436793672,7.0
71.0,2.0,10.0,0.11445801042723767,-0.3333333333333333,0.447791343760571,6.0
71.0,2.0,11.0,-0.1281465367634238,0.6666666666666666,-0.7948132034300904,6.0
71.0,2.0,12.0,-0.3734180956968879,,,3.0
71.0,2.0,13.0,-0.4513579911647903,0.3333333333333333,-0.7846913244981236,8.0
71.0,2.0,14.0,0.5929050857987688,,,5.0
71.0,2.0,15.0,0.08021846873451842,0.6666666666666666,-0.5864481979321482,3.0
71.0,2.0,16.0,-0.7273612987013285,0.8888888888888888,-1.6162501875902173,6.0
71.0,2.0,17.0,-0.1740153113106565,,,6.0
71.0,2.0,18.0,-0.3322684499448042,0.6666666666666666,-0.9989351166114708,5.0
71.0,2.0,19.0,-0.06628958897171933,,,10.0
71.0,3.0,1.0,0.6987464828376829,0.1111111111111111,0.5876353717265719,13.0
71.0,3.0,2.0,-0.9322838963545904,0.0,-0.9322838963545904,10.0
71.0,3.0,3.0,0.6865419965213682,0.6666666666666666,0.01987532985470153,2.0
71.0,3.0,4.0,-0.8023897281830568,,,4.0
71.0,3.0,5.0,0.6742618729181946,,,1.0
71.0,3.0,6.0,-0.01567366338149501,0.6666666666666666,-0.6823403300481616,9.0
71.0,3.0,7.0,-0.2878881579689294,0.4444444444444444,-0.7323326024133738,9.0
71.0,3.0,8.0,-0.6078255658358225,0.6666666666666666,-1.2744922325024892,10.0
71.0,3.0,9.0,0.4592316732505657,0.3333333333333333,0.12589833991723237,8.0
71.0,3.0,10.0,0.11641774519096625,-0.3333333333333333,0.4497510785242996,8.0
71.0,3.0,11.0,-0.1098450472214747,0.6666666666666666,-0.7765117138881413,8.0
71.0,3.0,12.0,-0.4169950832346197,,,5.0
71.0,3.0,13.0,-0.4022960473024658,0.3333333333333333,-0.7356293806357992,11.0
71.0,3.0,14.0,0.6233470433509867,,,8.0
71.0,3.0,15.0,0.08052489087555714,0.6666666666666666,-0.5861417757911095,3.0
71.0,3.0,16.0,-0.7165828714123976,0.8888888888888888,-1.6054717603012865,5.0
71.0,3.0,17.0,-0.17316849265025447,,,7.0
71.0,3.0,18.0,-0.3033885618424245,0.6666666666666666,-0.9700552285090911,8.0
71.0,3.0,19.0,-0.058809243559923785,,,10.0
71.0,4.0,1.0,0.7335644675163482,-0.16666666666666669,0.9002311341830149,14.0
71.0,4.0,2.0,-0.9087216284707864,0.0,-0.9087216284707864,10.0
71.0,4.0,3.0,0.6232290309576352,0.6666666666666666,-0.043437635709031475,2.0
71.0,4.0,4.0,-0.8407186954755124,,,5.0
71.0,4.0,5.0,0.6713974524131539,,,1.0
71.0,4.0,6.0,0.034934744044674115,0.6666666666666666,-0.6317319226219925,8.0
71.0,4.0,7.0,-0.2729928523903037,0.4444444444444444,-0.7174372968347481,8.0
71.0,4.0,8.0,-0.6367745982651952,0.6666666666666666,-1.3034412649318619,11.0
71.0,4.0,9.0,0.420199188061064,0.3333333333333333,0.08686585472773067,8.0
71.0,4.0,10.0,0.0599800267441597,-0.3333333333333333,0.393313360077493,8.0
71.0,4.0,11.0,-0.115927697588458,0.6666666666666666,-0.7825943642551246,9.0
71.0,4.0,12.0,-0.3683896969712849,,,6.0
71.0,4.0,13.0,-0.42172879271157293,0.3333333333333333,-0.7550621260449062,11.0
71.0,4.0,14.0,0.6495678935209257,,,6.0
71.0,4.0,15.0,0.16783310222572956,0.6666666666666666,-0.49883356444093707,3.0
71.0,4.0,16.0,-0.7391983062715499,0.8888888888888888,-1.6280871951604388,4.0
71.0,4.0,17.0,-0.14284021885147755,,,7.0
71.0,4.0,18.0,-0.3037142350399075,0.6666666666666666,-0.9703809017065741,8.0
71.0,4.0,19.0,-0.0918556753993941,,,10.0
71.0,5.0,1.0,0.7637492127286161,0.1111111111111111,0.6526381016175049,12.0
71.0,5.0,2.0,-0.9030423389965236,0.0,-0.9030423389965236,10.0
71.0,5.0,3.0,0.6948256463713067,0.6666666666666666,0.028158979704640097,2.0
71.0,5.0,4.0,-0.8070086147908033,,,7.0
71.0,5.0,5.0,0.7175567014807023,,,2.0
71.0,5.0,6.0,0.040809391872796086,0.6666666666666666,-0.6258572747938705,7.0
71.0,5.0,7.0,-0.21268145686983086,0.4444444444444444,-0.6571259013142753,7.0
71.0,5.0,8.0,-0.6349877812747369,0.6666666666666666,-1.3016544479414036,11.0
71.0,5.0,9.0,0.4672649454551501,0.3333333333333333,0.1339316121218168,8.0
71.0,5.0,10.0,0.119959939576743,-0.3333333333333333,0.4532932729100763,6.0
71.0,5.0,11.0,-0.11756164524312684,0.6666666666666666,-0.7842283119097935,9.0
71.0,5.0,12.0,-0.3494147621885104,,,5.0
71.0,5.0,13.0,-0.386826057819922,0.3333333333333333,-0.7201593911532553,10.0
71.0,5.0,14.0,0.6518114959335273,,,4.0
71.0,5.0,15.0,0.16488757667815368,0.6666666666666666,-0.501779089988513,4.0
71.0,5.0,16.0,-0.7517387178272417,0.8888888888888888,-1.6406276067161305,4.0
71.0,5.0,17.0,-0.1482835974506136,,,7.0
71.0,5.0,18.0,-0.29852487925657656,0.6666666666666666,-0.9651915459232432,7.0
71.0,5.0,19.0,-0.08855747961068239,,,10.0
71.0,6.0,1.0,0.6684357514217016,0.1111111111111111,0.5573246403105905,12.0
71.0,6.0,2.0,-0.8833408761782304,0.0,-0.8833408761782304,10.0
71.0,6.0,3.0,0.6577613254022017,0.6666666666666666,-0.008905341264464961,1.0
71.0,6.0,4.0,-0.8028466275167768,,,8.0
71.0,6.0,5.0,0.7080539699380513,,,2.0
71.0,6.0,6.0,0.039521735410974035,0.6666666666666666,-0.6271449312556926,7.0
71.0,6.0,7.0,-0.2319552956295889,0.4444444444444444,-0.6763997400740334,7.0
71.0,6.0,8.0,-0.5964912500531114,0.6666666666666666,-1.263157916719778,11.0
71.0,6.0,9.0,0.43669267305930815,0.3333333333333333,0.10335933972597483,9.0
71.0,6.0,10.0,0.11575045117527673,-0.3333333333333333,0.44908378450861003,4.0
71.0,6.0,11.0,-0.10222026193055812,,,7.0
71.0,6.0,12.0,-0.3543418935225209,,,3.0
71.0,6.0,13.0,-0.4152359467572735,0.3333333333333333,-0.7485692800906067,10.0
71.0,6.0,14.0,0.6952676232884927,,,4.0
71.0,6.0,15.0,0.08341961185997193,0.6666666666666666,-0.5832470548066947,5.0
71.0,6.0,16.0,-0.7145710790581659,0.8888888888888888,-1.6034599679470547,6.0
71.0,6.0,17.0,-0.1443087668969315,,,7.0
71.0,6.0,18.0,-0.3028306229402653,0.6666666666666666,-0.9694972896069319,7.0
