measure,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19
1,7.0,7.0,4.990536034107208,2.1561376750469208,5.166074931621552,11.666666666666666,2.963002771139145,11.666666666666666,4.871816277503966,4.666666666666667,11.666666666666666,3.511435091495514,9.333333333333332,5.03973525762558,4.467078626155853,13.222222222222221,3.620137929916383,11.666666666666668,3.9029523134231567
2,7.0,7.0,4.990679562091827,2.225635260343552,5.232120335102081,11.666666666666666,3.0172676146030426,11.666666666666666,4.899140417575836,4.666666666666667,11.666666666666666,3.5201393961906438,9.333333333333334,4.9864062666893005,4.539419651031494,13.222222222222221,3.556335151195525,11.666666666666666,3.9239678978919983
3,7.0,7.0,5.012782037258148,2.2007296085357666,5.2472888231277475,11.666666666666666,2.9861873388290405,11.666666666666668,4.855662286281586,4.666666666666667,11.666666666666666,3.414222002029419,9.333333333333332,5.0180304050445566,4.548725605010985,13.222222222222221,3.629917860031128,11.666666666666666,3.9409738779067993
4,5.249999999999999,7.0,4.942127466201782,2.2242919802665706,5.207621276378632,11.666666666666666,3.0655856430530553,11.666666666666666,4.8390005230903625,4.666666666666667,11.666666666666666,3.5406142473220825,9.333333333333332,5.0763152837753305,4.556146919727325,13.222222222222221,3.624177992343903,11.666666666666668,3.940153181552887
5,7.0,7.0,5.048439979553223,2.1747230887413025,5.221457958221436,11.666666666666666,3.1285420656204224,11.666666666666668,4.84757798910141,4.666666666666667,11.666666666666666,3.539531528949737,9.333333333333332,5.0722389221191415,4.559334993362427,13.22222222222222,3.627651453018189,11.666666666666666,3.871008574962616
6,7.0,7.0,4.935863554477692,7.0,5.2009013295173645,11.666666666666666,3.13047468662262,11.666666666666668,9.333333333333332,4.092714250087738,7.0,3.4462356269359598,9.333333333333334,5.128732204437256,4.62302428483963,13.222222222222221,3.7011231780052185,11.666666666666666,3.825201869010925
7,7.0,7.0,4.759334981441498,7.0,5.065286576747893,7.0,3.0647557675838466,7.0,7.0,4.053104281425476,7.0,3.4710029661655426,11.666666666666666,5.1503302454948425,4.403091847896576,7.0,3.696171879768372,11.666666666666668,3.8293846249580383
8,7.0,7.0,4.748782753944396,7.0,5.098704397678375,7.0,3.087436735630036,7.0,7.0,4.117276310920714,7.0,3.481561660766601,11.666666666666664,5.079818367958068,4.499291896820068,7.0,3.7631852626800537,11.666666666666666,3.833108007907867
9,2.333333333333333,7.0,4.67946583032608,7.0,5.038950860500336,7.0,3.0592001080512987,7.0,7.0,4.0721229910850525,9.333333333333332,3.451899141073227,7.0,5.114471197128296,4.36406934261322,7.0,3.726190507411957,9.333333333333334,3.8454180359840393
10,2.333333333333333,7.0,4.7634117603302,7.0,5.073168933391571,7.0,3.0284204483032227,7.0,7.0,4.109871685504913,9.333333333333332,3.459862232208252,7.0,5.111785888671875,4.331641614437103,7.0,3.702942728996277,9.333333333333332,3.8792664408683777
11,5.729388475418091,2.2317320704460144,4.699210941791534,2.3515752255916595,5.0900388956069955,4.2022624015808105,3.0649618804454803,2.7814219295978546,4.718674838542938,4.099380791187286,9.333333333333334,3.4501953721046448,3.0198014676570897,5.133773624897003,4.359966695308685,2.6712969541549683,3.7216197252273564,3.3391998410224915,3.884185194969177
12,5.768505692481995,2.255013227462769,4.693435192108153,2.326788902282715,5.128375470638275,4.1908302307128915,3.0637592077255245,2.750626623630524,4.708029568195343,4.107692062854767,9.333333333333334,3.492396980524064,3.027075082063676,5.147359549999237,4.4110597372055045,2.6625194251537323,3.73916894197464,3.3642212748527527,3.881546199321747
13,5.759838938713074,2.2482334077358246,4.7569467425346375,2.3380295634269714,5.091904759407044,4.1923468708992,3.0526641607284546,2.7549332976341248,4.745114862918854,4.1031500697135925,9.333333333333332,3.462712973356247,3.0072300434112558,5.1221545338630685,4.4351632595062265,2.67756649851799,3.7198097705841056,3.3534372746944427,3.8778236508369446
14,5.741837024688722,2.2696190774440765,4.7468968629837045,2.3130408823490143,5.149900496006012,4.168932616710663,2.98801189661026,2.7241177558898926,4.738709926605225,4.108649611473084,9.333333333333332,3.436111271381378,3.00308609008789,5.137731909751891,4.400968551635742,2.6767919063568115,3.734868109226227,3.3785913884639744,3.8903435468673706
15,5.7032350897789,2.2722301185131077,4.712788939476012,2.363416075706482,5.106876730918883,4.198876976966858,3.020473003387452,2.7505160570144658,4.694570064544678,4.131980001926422,9.333333333333332,3.458190590143204,3.0093235075473785,5.155939519405365,4.342112481594087,2.693539828062057,3.7436333298683167,3.367144405841828,3.8602969646453857
16,1.8666666666666678,2.2738293707370762,4.737622201442719,2.364014595746994,5.085234045982362,4.199530780315399,3.0283027887344347,2.759687036275864,4.718891382217407,4.125908851623535,10.5,3.4413229227066036,2.988886833190918,5.136647105216981,4.328048825263977,2.6776092648506165,3.734364092350006,9.333333333333332,3.860290706157684
17,2.333333333333333,2.256278485059738,4.6890988945961,2.387271761894226,5.057412564754486,4.219807863235474,2.993087738752365,2.761977225542069,4.716928303241731,4.100112199783325,10.5,3.436680793762207,2.9924625158309937,5.116746783256532,4.3306723833084115,2.693477243185044,3.713146984577179,9.333333333333334,3.860037863254547
18,2.8000000000000007,2.21802869439125,4.743516445159912,2.3628332018852234,5.095973193645476,4.1359065771102905,3.040262758731842,2.804611086845398,4.726953148841859,4.123253583908081,10.5,3.4821157455444336,3.013024151325226,5.11482834815979,4.339817285537721,2.6735109984874725,3.689806580543518,9.333333333333334,3.905910909175873
19,2.8000000000000003,2.2372420430183406,4.6883729100227365,2.328703999519348,5.110397756099701,4.20788711309433,3.05928897857666,2.779210597276688,4.7475502490997314,4.111233115196228,10.5,3.451860547065735,3.0158575773239136,5.137054741382599,4.373959422111511,2.6711162924766545,3.714699506759644,9.333333333333332,3.8988580107688895
20,2.7999999999999994,2.240190625190735,4.703082025051117,2.327296257019043,5.092671632766724,4.191219925880431,3.0793668329715733,2.7755316495895386,4.7239044308662415,4.100245296955109,10.5,3.4800068438053127,3.0214839577674866,5.136065900325775,4.406449317932129,2.6587839424610142,3.7196979522705083,9.333333333333334,3.8823460340499882
21,5.76492041349411,2.2532518804073334,4.711691200733185,2.3599770367145543,5.100527286529541,4.218042135238648,3.043143332004547,2.7528189718723293,4.7252954840660095,4.133782863616943,10.5,3.4804852008819576,3.0311560332775116,5.130599737167358,4.422776877880096,2.6868307292461395,3.73334938287735,3.3683078587055206,3.891001522541046
22,5.744963765144348,2.249287962913513,4.687435805797577,2.3467926979064937,5.1006662249565125,4.207000076770783,2.9832950830459595,2.7348900735378265,4.7181044816970825,4.112998425960541,10.5,3.4625210464000697,3.0267068743705754,5.132042944431305,4.4042542576789865,2.7027441859245305,3.744889616966248,3.347577452659608,3.876864850521088
23,5.708353281021117,2.2540001869201665,4.718302667140961,2.414933443069458,5.097466468811035,4.2077423334121695,3.043370097875595,2.765634685754776,4.676310300827026,4.132236182689667,10.5,3.4534679353237148,3.037564724683761,5.161832511425018,4.3661141991615295,2.6829316914081582,3.7454482913017273,3.3698701858520512,3.858641803264618
24,5.663389801979065,2.270897477865219,4.710658967494965,2.3938734233379364,5.075134515762329,4.211625099182129,3.0451080799102783,2.7657669484615326,4.690601348876953,4.1453965306282035,10.5,3.453017115592957,3.019812524318695,5.144615828990936,4.326953172683717,2.677233129739762,3.735001623630524,3.3452951908111577,3.865335881710053
25,5.708296120166779,2.272229284048081,4.655037701129913,2.394161105155945,5.0703455209732065,4.2499207854270935,3.061335921287537,2.76192507147789,4.701778590679169,4.093602955341339,9.333333333333332,3.4326595067977905,2.9804745912551884,5.14397120475769,4.382701277732848,2.69346034526825,3.76667457818985,3.328537255525589,3.8791400194168086
26,2.5925925925925934,2.251285254955292,4.736165225505829,2.4103643298149113,5.088217258453369,2.3333333333333335,8.458333333333332,2.8011086285114293,4.698226273059845,4.115210592746735,9.333333333333332,3.4481012821197514,3.0201692581176762,5.143967032432557,4.353043973445892,2.693188518285752,3.739157676696777,9.333333333333332,3.8856313228607178
27,2.5925925925925926,2.2337984144687653,4.678242921829224,2.3486723303794865,5.123284816741943,2.3333333333333335,8.458333333333332,2.7623700499534607,4.713558733463287,4.114517569541931,9.333333333333332,3.44753697514534,2.9871219396591187,5.162851393222809,4.398115932941437,2.692231595516205,3.7615931034088135,9.333333333333332,3.86142098903656
28,2.916666666666667,2.2005825340747838,4.53424471616745,2.3237324655056,5.042384684085847,2.3333333333333335,8.458333333333332,2.7801392525434494,4.7465826869010925,4.088239848613739,9.333333333333332,3.564881846308708,3.040981024503708,5.0491611659526825,4.381060719490051,2.7457927763462067,3.635858416557312,9.333333333333334,3.9339053332805634
29,2.916666666666667,2.24372698366642,4.548582285642624,2.321898728609085,5.046761453151703,2.3333333333333335,8.458333333333332,2.7456290125846863,4.734352558851242,4.111765921115875,9.333333333333332,3.561090871691704,3.006260395050049,5.043928861618042,4.423943877220153,2.762082576751709,3.6579976081848153,9.333333333333334,3.92899951338768
30,2.916666666666667,2.187457025051117,4.592999190092087,2.3238051682710648,5.057135730981828,4.666666666666667,8.458333333333332,2.7780372351408005,4.7839404344558725,4.074394196271896,9.333333333333334,3.5544126480817795,3.016525149345398,5.036401778459549,4.439008891582488,2.759980976581573,3.615604490041733,9.333333333333332,3.944712907075882
