pid,measure,feature,feature_value
71,7,12,0.4685635566711426
71,7,13,0.4386671781539917
71,7,14,0.7398945689201355
71,7,15,0.5714715719223022
71,7,16,0.3814117312431336
71,7,17,0.5352087616920471
71,7,18,0.4732962846755981
71,7,19,0.5367192625999451
71,8,1,0.7216804623603821
71,8,2,0.3361755907535553
71,8,3,0.6985716223716736
71,8,4,0.371711015701294
71,8,5,0.7150032520294191
71,8,6,0.5894733071327211
71,8,7,0.5041043162345886
71,8,8,0.4229083955287933
71,8,9,0.6622598767280579
71,8,10,0.5930683612823486
71,8,11,0.5344877243041992
71,8,12,0.4659903943538666
71,8,13,0.4342527985572815
71,8,14,0.7357498407363892
71,8,15,0.5759929418563843
71,8,16,0.3833978176116944
71,8,17,0.5422000288963318
71,8,18,0.4655573666095734
71,8,19,0.5377398133277893
71,9,1,0.7130236029624939
71,9,2,0.3355347514152527
71,9,3,0.686765193939209
71,9,4,0.3724579513072968
71,9,5,0.7067102193832397
71,9,6,0.5941030383110046
71,9,7,0.4939346611499786
71,9,8,0.4194760322570801
71,9,9,0.661294162273407
71,9,10,0.5880649089813232
71,9,11,0.5373314023017883
71,9,12,0.4687241017818451
71,9,13,0.4397682845592499
71,9,14,0.7318565845489502
71,9,15,0.5638288855552673
71,9,16,0.3862662017345429
71,9,17,0.5399799942970276
71,9,18,0.4630237221717834
71,9,19,0.5367735028266907
71,10,1,0.7191852331161499
71,10,2,0.33166298270225525
71,10,3,0.691077470779419
71,10,4,0.3713533580303192
71,10,5,0.7151424288749695
71,10,6,0.5866798758506775
71,10,7,0.4915205240249634
71,10,8,0.4206341803073883
71,10,9,0.6623471975326538
71,10,10,0.5899685025215149
71,10,11,0.5398755669593811
71,10,12,0.4691224694252014
71,10,13,0.43851876258850103
71,10,14,0.7339845895767212
71,10,15,0.5636550188064575
71,10,16,0.38498616218566895
71,10,17,0.5399245619773865
71,10,18,0.4609687626361847
71,10,19,0.5427159070968628
71,11,1,0.7157256603240967
71,11,2,0.3320537507534027
71,11,3,0.6912147402763367
71,11,4,0.3653246164321899
71,11,5,0.7191197276115417
71,11,6,0.5904977321624756
71,11,7,0.4976820349693298
71,11,8,0.4178265035152435
71,11,9,0.6618563532829285
71,11,10,0.5927308797836304
71,11,11,0.5423482656478882
71,11,12,0.4689126014709473
71,11,13,0.4433414936065674
71,11,14,0.7357434034347534
71,11,15,0.561531662940979
71,11,16,0.3825200796127319
71,11,17,0.5381932854652405
71,11,18,0.4619418978691101
71,11,19,0.5439746379852295
71,12,1,0.7103548049926758
71,12,2,0.3353043496608734
71,12,3,0.6870045661926271
71,12,4,0.3679846823215485
71,12,5,0.7200416922569275
71,12,6,0.5937106013298035
71,12,7,0.4957346618175506
71,12,8,0.416440486907959
71,12,9,0.661469042301178
71,12,10,0.5937920808792114
71,12,11,0.5414007902145386
71,12,12,0.4701065719127655
71,12,13,0.44401684403419495
71,12,14,0.7359186410903931
71,12,15,0.5637776851654053
71,12,16,0.3837627172470093
71,12,17,0.541972815990448
71,12,18,0.4634546041488648
71,12,19,0.5424953103065491
71,13,1,0.7097120881080627
71,13,2,0.3349362313747406
71,13,3,0.6916553974151611
71,13,4,0.3742004930973053
71,13,5,0.7124961018562317
71,13,6,0.5970214009284973
71,13,7,0.497484415769577
71,13,8,0.4178303480148315
71,13,9,0.6634992957115173
71,13,10,0.5906991958618164
71,13,11,0.5398520827293396
71,13,12,0.4645545184612274
71,13,13,0.4424442648887634
71,13,14,0.7368636727333069
71,13,15,0.5704580545425415
71,13,16,0.3850741684436798
71,13,17,0.5423825383186339
71,13,18,0.4598993957042694
71,13,19,0.5392238497734071
71,14,1,0.7058783769607544
71,14,2,0.3400648832321167
71,14,3,0.6906142830848694
71,14,4,0.3755664229393005
71,14,5,0.7183125019073486
71,14,6,0.5979645848274231
71,14,7,0.4984985589981079
71,14,8,0.4157744944095612
71,14,9,0.6597223281860352
71,14,10,0.5926158428192139
71,14,11,0.5423995852470398
71,14,12,0.463429719209671
71,14,13,0.4395291805267334
71,14,14,0.7382418513298035
71,14,15,0.5721479654312134
71,14,16,0.3866703808307648
71,14,17,0.5462213158607483
71,14,18,0.46560814976692205
71,14,19,0.5387158393859863
71,15,1,0.7103500366210938
71,15,2,0.34046533703804016
71,15,3,0.6929407715797424
71,15,4,0.3736068904399872
71,15,5,0.7212743163108826
71,15,6,0.5977157354354858
71,15,7,0.5015572905540466
71,15,8,0.4159964323043823
71,15,9,0.6610007882118225
71,15,10,0.5954764485359192
71,15,11,0.5442931056022644
71,15,12,0.4651905000209808
71,15,13,0.4377303421497345
71,15,14,0.7400206923484802
71,15,15,0.5690978169441223
71,15,16,0.3838284909725189
71,15,17,0.5445641875267029
71,15,18,0.4674303531646729
71,15,19,0.5381447672843933
71,16,1,0.7202627062797546
71,16,2,0.34373146295547485
71,16,3,0.7022849917411804
71,16,4,0.3713296353816986
71,16,5,0.7242017388343811
71,16,6,0.5954499840736389
71,16,7,0.5120577216148376
71,16,8,0.4149891138076782
71,16,9,0.6685944199562073
71,16,10,0.5958781242370605
71,16,11,0.5425108075141907
71,16,12,0.4652399122714996
71,16,13,0.4367718994617462
71,16,14,0.7389382719993591
71,16,15,0.5796455144882202
71,16,16,0.3811909854412079
71,16,17,0.5430309176445007
71,16,18,0.4669104814529419
71,16,19,0.5429518222808838
71,17,1,0.7239980101585388
71,17,2,0.3384020030498505
71,17,3,0.6940110921859741
71,17,4,0.3760810196399689
71,17,5,0.7168790698051453
71,17,6,0.5978217124938965
71,17,7,0.4997347891330719
71,17,8,0.41751009225845337
71,17,9,0.6659952998161316
71,17,10,0.5913372635841371
71,17,11,0.5369561910629272
71,17,12,0.465478926897049
71,17,13,0.4376684725284576
71,17,14,0.7342786192893982
71,17,15,0.5776169300079346
71,17,16,0.3834054470062256
71,17,17,0.5413457751274109
71,17,18,0.4645017385482788
71,17,19,0.5402774214744568
71,18,1,0.7300682663917542
71,18,2,0.3295573592185974
71,18,3,0.6989473700523376
71,18,4,0.3693437874317169
71,18,5,0.7206676006317139
71,18,6,0.5869526863098145
71,18,7,0.4946392476558685
71,18,8,0.4221407473087311
71,18,9,0.66800457239151
71,18,10,0.5921676754951477
71,18,11,0.5424803495407104
71,18,12,0.4676346480846405
71,18,13,0.44226205348968506
71,18,14,0.7337260246276855
71,18,15,0.5695621967315674
71,18,16,0.38150554895401
71,18,17,0.5375790596008301
71,18,18,0.4628068804740906
71,18,19,0.5480895638465881
71,19,1,0.73235023021698
71,19,2,0.3336875736713409
71,19,3,0.6953400373458862
71,19,4,0.3647761940956116
71,19,5,0.7247244119644165
71,19,6,0.5910321474075317
71,19,7,0.5049508810043335
71,19,8,0.4232369959354401
71,19,9,0.6694989800453186
71,19,10,0.5907585024833679
71,19,11,0.5441931486129761
71,19,12,0.4633369445800781
71,19,13,0.4421672523021698
71,19,14,0.7358580231666565
71,19,15,0.5768631100654602
71,19,16,0.37846606969833374
71,19,17,0.5399194955825806
71,19,18,0.4674283862113953
71,19,19,0.5473771095275879
71,20,1,0.7283730506896973
71,20,2,0.3349286019802093
71,20,3,0.6993310451507568
71,20,4,0.3653965890407562
71,20,5,0.7241236567497253
71,20,6,0.5929340720176697
71,20,7,0.5046560168266296
71,20,8,0.4218207001686096
71,20,9,0.6688741445541382
71,20,10,0.5943418741226196
71,20,11,0.540039598941803
71,20,12,0.4690648317337036
71,20,13,0.44376879930496216
71,20,14,0.7345524430274963
71,20,15,0.5812004804611206
71,20,16,0.3780975341796875
71,20,17,0.5408304929733276
71,20,18,0.4662937223911285
71,20,19,0.5431805253028871
71,21,1,0.7189841270446777
71,21,2,0.33506160974502563
71,21,3,0.6917114853858948
71,21,4,0.37533190846443176
71,21,5,0.7178783416748047
71,21,6,0.6015610098838806
71,21,7,0.4960275590419769
71,21,8,0.4183805286884308
71,21,9,0.6640750765800476
71,21,10,0.5948057770729065
71,21,11,0.5403674244880676
71,21,12,0.4672312438488007
71,21,13,0.4459428489208221
71,21,14,0.7361719608306885
71,21,15,0.5796896815299988
71,21,16,0.3813002109527588
71,21,17,0.5433025956153871
71,21,18,0.4649397134780884
71,21,19,0.5415775179862976
71,22,1,0.7313145399093628
71,22,2,0.337398499250412
71,22,3,0.6914860606193542
71,22,4,0.368280440568924
71,22,5,0.7211835384368896
71,22,6,0.5975766777992249
71,22,7,0.4979076683521271
71,22,8,0.41470810770988464
71,22,9,0.6642826795578003
71,22,10,0.5923121571540833
71,22,11,0.5435082912445068
71,22,12,0.4686579406261444
71,22,13,0.4397892057895661
71,22,14,0.7362796068191528
71,22,15,0.5869856476783752
71,22,16,0.3826929032802582
71,22,17,0.5452407598495483
71,22,18,0.4689190983772278
71,22,19,0.5416676998138428
71,23,1,0.7134217619895935
71,23,2,0.3371269106864929
71,23,3,0.6921024918556213
71,23,4,0.3848720490932465
71,23,5,0.7195928692817688
71,23,6,0.598483145236969
71,23,7,0.5088147521018982
71,23,8,0.4203521609306336
71,23,9,0.6582673788070679
71,23,10,0.5947961211204529
71,23,11,0.5395560264587402
71,23,12,0.4623702764511109
71,23,13,0.4413486421108246
71,23,14,0.7410817146301271
71,23,15,0.5781577825546265
71,23,16,0.3810584843158722
71,23,17,0.5448514223098755
71,23,18,0.469696581363678
71,23,19,0.5377014875411987
71,24,1,0.7099404335021973
71,24,2,0.34324002265930176
71,24,3,0.6948524713516235
71,24,4,0.3785481154918671
71,24,5,0.7175267934799194
71,24,6,0.5932593941688538
71,24,7,0.5092722773551941
71,24,8,0.42020443081855774
71,24,9,0.6591084599494934
71,24,10,0.5995438694953918
71,24,11,0.5422931909561157
71,24,12,0.4656015336513519
71,24,13,0.4438309967517853
71,24,14,0.7374459505081177
71,24,15,0.5711044669151306
71,24,16,0.3809650540351868
71,24,17,0.5418632626533508
71,24,18,0.4679450690746307
71,24,19,0.5420355200767517
71,25,1,0.713891863822937
71,25,2,0.34047791361808777
71,25,3,0.6875426173210144
71,25,4,0.3772223889827728
71,25,5,0.7156706452369691
71,25,6,0.6023589372634888
71,25,7,0.5075793862342834
71,25,8,0.4177303612232208
71,25,9,0.6625760793685913
71,25,10,0.592863917350769
71,25,11,0.5415453910827637
71,25,12,0.4646623432636261
71,25,13,0.4373784065246582
71,25,14,0.7375286221504211
71,25,15,0.575543999671936
71,25,16,0.3823656439781189
71,25,17,0.5456132888793945
71,25,18,0.4604177176952362
71,25,19,0.540349543094635
71,26,1,0.7106911540031433
71,26,2,0.33395543694496155
71,26,3,0.6908135414123535
71,26,4,0.3753173351287842
71,26,5,0.7160596251487732
71,26,6,0.5936481356620789
71,26,7,0.5025730133056641
71,26,8,0.4202788472175598
71,26,9,0.6611890196800232
71,26,10,0.5906809568405151
71,26,11,0.5409026145935059
71,26,12,0.4655806124210358
71,26,13,0.4427600800991057
71,26,14,0.7369444966316223
71,26,15,0.5682321786880493
71,26,16,0.3848765790462494
71,26,17,0.5433810353279114
71,26,18,0.4587011933326721
71,26,19,0.5429272055625916
71,27,1,0.7217744588851929
71,27,2,0.33450570702552795
71,27,3,0.6915574073791504
71,27,4,0.3688478469848633
71,27,5,0.7283344864845276
71,27,6,0.5983350276947021
71,27,7,0.5090795755386353
71,27,8,0.4163710772991181
71,27,9,0.6621673703193665
71,27,10,0.5921458601951599
71,27,11,0.5466634631156921
71,27,12,0.4665921330451965
71,27,13,0.4390147626399994
71,27,14,0.7411532402038574
71,27,15,0.5839763879776001
71,27,16,0.3798925578594208
71,27,17,0.5474066138267517
71,27,18,0.4688758850097656
71,27,19,0.5395595431327821
71,28,1,0.7098378539085388
71,28,2,0.3384841978549957
71,28,3,0.6887944936752319
71,28,4,0.3723280131816864
71,28,5,0.7179821729660034
71,28,6,0.5938196182250977
71,28,7,0.5080602765083313
71,28,8,0.4203024506568909
71,28,9,0.65831458568573
71,28,10,0.5949259400367737
71,28,11,0.5428348779678345
71,28,12,0.4688928127288818
71,28,13,0.4451902806758881
71,28,14,0.7391399145126343
71,28,15,0.564879834651947
71,28,16,0.3820900022983551
71,28,17,0.5435605049133301
71,28,18,0.4603977799415589
71,28,19,0.5395714044570923
71,29,1,0.7072786688804626
71,29,2,0.3454042077064514
71,29,3,0.6858106851577759
71,29,4,0.3741187453269959
71,29,5,0.7174509167671204
71,29,6,0.6049391031265259
71,29,7,0.5118669867515564
71,29,8,0.4172512590885161
71,29,9,0.6539748907089233
71,29,10,0.599549412727356
71,29,11,0.5451070666313171
71,29,12,0.4684014022350311
71,29,13,0.4383608400821686
71,29,14,0.7399179339408875
71,29,15,0.5767021775245667
71,29,16,0.38112872838974
71,29,17,0.5474051833152771
71,29,18,0.4659590125083923
71,29,19,0.53397136926651
71,30,1,0.7294142842292786
71,30,2,0.3375867009162903
71,30,3,0.6979101896286011
71,30,4,0.3754372000694275
71,30,5,0.7233564257621765
71,30,6,0.5943589806556702
71,30,7,0.5071788430213928
71,30,8,0.4177773892879486
71,30,9,0.6650937795639038
71,30,10,0.5909259915351868
71,30,11,0.5400648713111877
71,30,12,0.4665791690349579
71,30,13,0.438926637172699
71,30,14,0.7384271025657654
71,30,15,0.5872101187705994
71,30,16,0.3820393979549408
71,30,17,0.5436257719993591
71,30,18,0.4667920470237732
71,30,19,0.5425418019294739
71,31,1,0.7133910059928894
71,31,2,0.3430478870868683
71,31,3,0.6971848607063293
71,31,4,0.3847300708293915
71,31,5,0.7246447205543518
71,31,6,0.6008917689323425
71,31,7,0.5177300572395325
71,31,8,0.41956189274787903
71,31,9,0.6577970385551453
71,31,10,0.5935450792312622
71,31,11,0.5395855903625488
71,31,12,0.4611726999282837
71,31,13,0.444720596075058
71,31,14,0.7422588467597961
71,31,15,0.5884260535240173
71,31,16,0.38049957156181335
71,31,17,0.546941339969635
71,31,18,0.4706082344055176
71,31,19,0.5379298925399779
71,32,1,0.7093256115913391
71,32,2,0.3441770970821381
71,32,3,0.7029182314872742
71,32,4,0.3814199864864349
71,32,5,0.7186848521232605
71,32,6,0.6003080606460571
71,32,7,0.5206736922264099
71,32,8,0.4164637327194214
71,32,9,0.6645715832710266
71,32,10,0.599303126335144
71,32,11,0.5398050546646118
71,32,12,0.4602896273136139
71,32,13,0.4413655698299408
71,32,14,0.7371096014976501
71,32,15,0.5849495530128479
71,32,16,0.38229766488075256
71,32,17,0.5434908866882324
71,32,18,0.4699181318283081
71,32,19,0.5400845408439636
71,33,1,0.6295294761657715
71,33,2,0.323831170797348
71,33,3,0.6522054672241211
71,33,4,0.3808417022228241
71,33,5,0.7106433510780334
71,33,6,0.5863180160522461
71,33,7,0.3989502787590027
71,33,8,0.41696852445602417
71,33,9,0.6529459357261658
71,33,10,0.5924147367477417
71,33,11,0.5390995740890503
71,33,12,0.4579012393951416
71,33,13,0.4524978697299957
71,33,14,0.7105559706687927
71,33,15,0.5221662521362305
71,33,16,0.4243879318237305
71,33,17,0.5302013754844666
71,33,18,0.4795484244823456
71,33,19,0.5538740754127502
71,34,1,0.6416369080543518
71,34,2,0.3198404014110565
71,34,3,0.6548715829849243
71,34,4,0.3772952854633331
71,34,5,0.7184335589408875
71,34,6,0.5823264122009277
71,34,7,0.4034464955329895
71,34,8,0.42320862412452703
71,34,9,0.6538191437721252
71,34,10,0.5920785665512085
71,34,11,0.5396130681037903
71,34,12,0.4594995975494385
71,34,13,0.4549586176872253
71,34,14,0.7116539478302002
71,34,15,0.5357921123504639
71,34,16,0.4177651107311249
71,34,17,0.531949520111084
71,34,18,0.4795210957527161
71,34,19,0.5561483502388
71,35,1,0.6469592452049255
71,35,2,0.3208638429641724
71,35,3,0.6577966809272766
71,35,4,0.374921590089798
71,35,5,0.7211851477622986
71,35,6,0.585385799407959
71,35,7,0.4014641642570496
71,35,8,0.4191751182079315
71,35,9,0.6588914394378662
71,35,10,0.5913364887237549
71,35,11,0.543713390827179
71,35,12,0.4546831548213959
71,35,13,0.4547732770442962
71,35,14,0.7108188271522522
71,35,15,0.5397787690162659
71,35,16,0.4157609641551971
71,35,17,0.5326465368270874
71,35,18,0.4834418892860413
71,35,19,0.5569679737091064
